Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,DVL2_1,DVL2_2,DVL2_3,DVL2_4,V North,V East,V Down
3.01,-0.0002579999999999,0.000161,-0.097954,-6.999999999999976e-06,1.3000000000000025e-05,-0.000392,0.5609058802007696,-0.4694622397623634,-0.5261612334436592,0.5042068865194738,0.5622128728637216,-0.4583551854078724,-0.5446329439776594,0.47593511429393465,0.5576688233074714,-0.45099001375241643,-0.5668207504389161,0.44183808662097174,-2.07378,-0.160386,0.017127
4.01,-0.0001009999999999,-0.0007409999999999,-0.098161,6.100000000000001e-05,2.1000000000000016e-05,-0.000273,0.5556600461238835,-0.485010650695459,-0.5268092679256263,0.5138614288937161,0.5609058802007696,-0.4694622397623634,-0.5261612334436592,0.5042068865194738,0.5622128728637216,-0.4583551854078724,-0.5446329439776594,0.47593511429393465,-2.102422,-0.038982,0.025785
5.01,-0.0001669999999999,0.000192,-0.098177,-2.699999999999999e-05,8.00000000000001e-06,-0.000169,0.5380558777114387,-0.5143838171003141,-0.5343111986076924,0.5181284962040603,0.5556600461238835,-0.485010650695459,-0.5268092679256263,0.5138614288937161,0.5609058802007696,-0.4694622397623634,-0.5261612334436592,0.5042068865194738,-2.124815,0.04721,0.025236
6.02,6.400000000000603e-05,3.000000000006027e-06,-0.098431,6.1000000000000005e-05,-5.999999999999996e-06,-7.4e-05,0.5236658003027125,-0.5380625458231706,-0.5392337715816679,0.5224945745442152,0.5380558777114387,-0.5143838171003141,-0.5343111986076924,0.5181284962040603,0.5556600461238835,-0.485010650695459,-0.5268092679256263,0.5138614288937161,-2.144152,0.106313,0.0149
7.02,-9.3999999999994e-05,0.000134,-0.098106,-9.999999999999995e-07,-8e-06,-3.0000000000000005e-06,0.5133754340057659,-0.5646390492354801,-0.5464391381991872,0.5315753450420588,0.5236658003027125,-0.5380625458231706,-0.5392337715816679,0.5224945745442152,0.5380558777114387,-0.5143838171003141,-0.5343111986076924,0.5181284962040603,-2.162604,0.146749,0.002068
8.02,8.1000000000006e-05,0.000541,-0.097729,9.5e-05,-1.4000000000000003e-05,7.6e-05,0.5150051399527583,-0.5732762242108036,-0.5443685071853052,0.5439128569782566,0.5133754340057659,-0.5646390492354801,-0.5464391381991872,0.5315753450420588,0.5236658003027125,-0.5380625458231706,-0.5392337715816679,0.5224945745442152,-2.182909,0.171055,-0.004726
9.02,-0.0002199999999999,0.000219,-0.09756,-4.800000000000001e-05,-6.000000000000008e-06,0.00013,0.5124106291140654,-0.5794172625891816,-0.5456605089972976,0.5461673827059493,0.5150051399527583,-0.5732762242108036,-0.5443685071853052,0.5439128569782566,0.5133754340057659,-0.5646390492354801,-0.5464391381991872,0.5315753450420588,-2.206749,0.174899,-0.004531
10.03,-0.0003609999999999,0.001249,-0.097492,8.999999999999992e-06,-9.000000000000009e-06,0.000149,0.520449378752472,-0.5775221850751159,-0.5288170873742545,0.5691544764533334,0.5124106291140654,-0.5794172625891816,-0.5456605089972976,0.5461673827059493,0.5150051399527583,-0.5732762242108036,-0.5443685071853052,0.5439128569782566,-2.227158,0.161244,-0.002442
11.03,-0.0004789999999999,0.002129,-0.097777,-5.700000000000002e-05,4.99999999999999e-06,0.00017,0.4783577298037857,-0.6069428488744454,-0.4787787945862186,0.6065217840920125,0.520449378752472,-0.5775221850751159,-0.5288170873742545,0.5691544764533334,0.5124106291140654,-0.5794172625891816,-0.5456605089972976,0.5461673827059493,-2.239458,0.138572,0.006496
12.03,-0.0017139999999999,-0.0037769999999999,-0.09785,7.999999999999995e-05,-3.300000000000006e-05,0.000906,0.36444009536717825,-0.5849439911096995,-0.18020834842106803,0.7691757380558099,0.4783577298037857,-0.6069428488744454,-0.4787787945862186,0.6065217840920125,0.520449378752472,-0.5775221850751159,-0.5288170873742545,0.5691544764533334,-2.242814,0.101236,0.022089
13.03,0.001577,0.005977,-0.100055,0.0001629999999999,0.0003409999999999,0.003083,0.2597244362224329,-0.5979684352079639,-0.25081784433824833,0.6068750270921486,0.36444009536717825,-0.5849439911096995,-0.18020834842106803,0.7691757380558099,0.4783577298037857,-0.6069428488744454,-0.4787787945862186,0.6065217840920125,-2.088961,0.007983,0.040297
14.04,0.002056,-0.0019049999999999,-0.096572,0.0009739999999999,6.499999999999983e-05,0.002627,0.2146691223417283,-0.5799764423919774,-0.2970506972235757,0.49759486751013005,0.2597244362224329,-0.5979684352079639,-0.25081784433824833,0.6068750270921486,0.36444009536717825,-0.5849439911096995,-0.18020834842106803,0.7691757380558099,-1.775735,-0.455404,-0.037497
15.04,0.000998,0.006311,-0.097546,-0.000963,1.099999999999986e-05,0.002289,0.24612525542720098,-0.5179843412276698,-0.28011415566140074,0.4839954409934701,0.2146691223417283,-0.5799764423919774,-0.2970506972235757,0.49759486751013005,0.2597244362224329,-0.5979684352079639,-0.25081784433824833,0.6068750270921486,-1.441507,-0.874935,-0.061752
16.04,0.002076,-0.0044119999999999,-0.099587,0.0010149999999999,5.299999999999988e-05,0.002039,0.3043303359637282,-0.458039820112387,-0.2826897815112401,0.47968037456487517,0.24612525542720098,-0.5179843412276698,-0.28011415566140074,0.4839954409934701,0.2146691223417283,-0.5799764423919774,-0.2970506972235757,0.49759486751013005,-1.094613,-1.146108,-0.053509
17.04,0.001076,-0.0040809999999999,-0.098309,-0.000918,7.799999999999989e-05,0.001808,0.3490874015071269,-0.4318167895603632,-0.2874361591764071,0.4934680318910831,0.3043303359637282,-0.458039820112387,-0.2826897815112401,0.47968037456487517,0.24612525542720098,-0.5179843412276698,-0.28011415566140074,0.4839954409934701,-0.774255,-1.34793,-0.03217
