Trajectory,NumSamples,InputSize,EpochsTrained,AvgBestRMSE,TrainingTime
Trajectory13,3113,22,100,0.12215207148294224,86.08213448524475
Trajectory14,926,22,100,0.03695222432875465,24.15251588821411
