Time,b1,b2,b3,b4
1.0,8.103327158209828e-05,-0.0016598015713396,-0.0020314517791196,-0.0002906169361979
2.01,-0.0004057397367762,-0.0032786796724182,0.0022939794315843,0.0051669193672264
3.01,-0.001069155749643,0.0001989384376944,0.0107269740330575,0.00945887984572
4.01,0.0032928019670246,-0.0029598532398181,-0.0072398632899143,-0.0009872080830714
5.01,-0.0005240061291902,-0.0047387613916834,-0.0033872566422153,0.0008274986202777
6.02,0.0036849956682851,-0.0019495043422079,8.541989033128417e-05,0.0057199199008244
7.02,0.0014297166497284,0.0017227384329355,0.0062811468793805,0.0059881250961733
8.02,-0.0041454012365855,-0.0060114648990835,0.0041287002504262,0.0059947639129241
9.02,-0.0104250803618659,-0.0160234904085846,-0.0146873084838102,-0.0090888984370913
10.03,0.003573530013297,0.0050091040163529,0.0022218597448341,0.0007862857417783
11.03,0.0070300632095147,0.0041662794527513,0.0083358833377479,0.0111996670945112
12.03,0.0142877103874181,0.0082785882810881,0.0106583983361627,0.0166675204424926
13.03,-0.0041316948168576,-0.0081312959133491,0.0040858957834181,0.0080854968799096
14.04,-0.0087522622716693,,-0.0066490635153778,-0.0066501754646937
15.04,0.0004525831328036,-0.0062458150151542,-0.0024713297902297,0.004227068357728
16.04,-0.0057096672605126,-0.0056693721025081,-0.007770998442365,-0.0078112936003694
17.04,,0.0033115741134255,0.0046694528195922,0.0081908867485742
18.05,0.0066751515875388,0.005576317787015,0.0087155891047286,0.0098144229052524
19.05,0.0061968795585651,0.0018460975008011,0.0130055002026341,0.0173562822603982
20.05,5.035458565050277e-05,-0.0018017729371312,0.00763418437147,0.0094863118942519
21.05,,-0.0112214880648795,-0.0052799609555926,-0.0041936251833557
22.06,-0.0072110536209301,-0.0092452967093181,-0.0120743056882233,-0.0100400625998351
23.06,-0.0048125034069788,-0.0072691708549981,-0.0048472498361956,
24.06,0.0038582557561581,0.0024393799734874,0.0038222911754162,0.0052411669580867
25.06,0.0042100083319913,0.0010357729437082,0.0034477631464241,0.0066219985347071
26.07,0.0030551782975816,-0.0021910307120303,-0.0012065575563527,0.0040396514532594
27.07,,0.0043175576953603,0.0039896382582483,0.0014940789292846
28.07,0.0036644498900453,-0.0012228903088943,0.0001143074970753,
29.07,-0.0039987346218103,-0.005103998424949,0.0001371508132314,0.00124241461637
30.08,-0.0082021225022008,-0.011050779852338,,-0.0005337101201834
