Time,V North,V East,V Down
0.0,-0.002938,2.049684,-0.012921
1.0,-0.053999,2.047484,0.003562
2.01,-0.108849,2.043323,0.01102
3.01,,,
4.01,-0.214411,2.037046,
5.01,,,-0.00352
6.02,,,
7.02,-0.321367,2.028391,
8.02,,,
9.02,,,-0.010017
10.03,,,
11.03,,,
12.03,-0.532698,2.002142,
13.03,,,0.014138
14.04,-0.602523,1.956397,
15.04,,,
16.04,,,-0.009353
17.04,,,
18.05,,1.92763,
19.05,-0.828119,1.917572,
20.05,-0.847852,1.892868,
21.05,,1.857894,
22.06,-0.899624,1.822297,
23.06,,,
24.06,,,-0.029361
25.06,,,
26.07,-1.091258,,-0.042142
27.07,,,
28.07,,,
29.07,,1.659058,
30.08,-1.213646,,
31.08,,,
32.08,,,-0.039831
33.08,,1.591723,
34.09,-1.356552,1.571175,
35.09,-1.380682,,0.018059
36.09,-1.401999,1.485072,
37.09,,1.446035,0.03103
38.1,-1.447522,1.416457,
39.1,,,-0.009485
40.1,-1.510823,,
41.1,,1.33964,-0.008287
42.11,,,-0.003721
43.11,,1.264339,
44.11,-1.605801,,
45.11,,,-0.00308
46.12,,,0.003762
47.12,,,
48.12,,,0.006696
49.12,,,
50.13,-1.727972,,
51.13,,0.96415,
52.13,-1.767393,,
53.13,,0.905511,-0.016956
54.14,,,
55.14,,,
56.14,,,
57.14,,0.739934,0.004431
58.15,-1.83808,,
59.15,,,
60.15,-1.857433,,
61.15,,0.57817,
62.16,-1.868937,,-0.02079
63.16,-1.870319,0.534202,
64.16,,0.502551,
65.16,-1.877719,0.448831,
66.17,,0.383954,0.020609
67.17,,,
68.17,-1.880638,,-0.025192
69.17,,,
70.18,,,
71.18,-1.887019,0.250326,
72.18,,0.183871,
73.18,,,
74.19,,0.077728,-0.007061
75.19,,,
76.19,,,
77.19,,,
78.2,-1.853643,-0.032226,
79.2,,,0.005472
80.2,,,
81.2,,-0.145462,0.00083
82.21,-1.818106,-0.177336,
83.21,,,
84.21,-1.80082,,
85.21,-1.791967,,
86.22,-1.779021,,
87.22,,-0.319898,0.003546
88.22,,-0.353598,
89.22,,-0.387075,
90.23,-1.725626,,-0.004273
91.23,,,-0.01136
92.23,,,
93.23,,,
94.24,,,
95.24,-1.62587,,0.039873
96.24,,,
97.24,,,
98.25,,,
99.25,,-1.354289,0.011384
100.25,,-1.446398,0.02691
101.25,,,
102.26,,,
103.26,,,
104.26,0.898644,,-0.009034
105.26,,-1.147775,
106.27,,,
107.27,,,
108.27,1.596855,-0.587145,
109.27,,,
110.28,,,
111.28,,,0.003631
112.28,,0.113829,-0.017122
113.28,,0.05761,
114.29,,,
115.29,,,
116.29,1.636937,-0.744796,
117.29,,-0.991062,
118.3,,-1.176909,
119.3,,-1.298627,
120.3,,-1.385809,-0.003211
121.3,,,
122.31,,,
123.31,,,-0.002129
124.31,,,0.004489
125.31,,,
126.32,-1.000721,,0.008179
127.32,,,
128.32,-1.292435,,
129.32,,,0.053823
130.33,-1.479338,,
131.33,-1.556684,-1.123574,
132.33,,,0.042266
133.33,,,
134.34,,,
135.34,,,
136.34,,,
137.34,,,
138.35,,,
139.35,-1.762428,,-0.03416
140.35,-1.775047,-0.126221,
141.35,-1.745153,,
142.36,,,
143.36,-1.605335,,0.024245
144.36,,1.046324,
145.36,,,-0.035329
146.37,,,-0.057903
147.37,,,-0.044508
148.37,,1.649107,-0.006448
149.37,-1.297898,,
150.38,,1.664474,0.0426
151.38,-1.254746,,
152.38,,,
153.38,,1.680486,
154.39,-1.25733,,
155.39,,,
156.39,,1.712965,-0.006015
157.39,,1.697713,0.017713
158.4,,,0.022377
159.4,-1.275341,,
160.4,,,
161.4,-1.267284,,
162.41,,1.681578,
163.41,-1.268887,,
164.41,-1.273609,1.688276,
165.41,-1.281057,,
166.42,,1.685246,
167.42,,,0.001774
168.42,,,
169.42,,,0.008481
170.43,-1.270243,1.690561,
171.43,,,
172.43,,,
173.43,-1.279655,1.697354,
174.44,-1.285759,,
175.44,-1.293034,1.70499,
176.44,-1.298953,1.705372,
177.44,,,0.004183
178.45,,,
179.45,,,0.01153
180.45,,1.693914,
181.45,,,0.002961
182.46,,1.695787,
183.46,,,-0.035454
184.46,,,
185.46,,,
186.47,,,
187.47,,,
188.47,,1.672733,
189.47,,,
190.48,,1.710359,-0.048891
191.48,,1.736119,-0.040039
192.48,,1.739692,
193.48,,,
194.49,,,0.051663
195.49,,,
196.49,,,
197.49,,,-0.047486
198.5,-1.295968,1.729341,
199.5,,1.687335,
200.5,,1.580572,
201.5,,,
202.51,,,0.021989
203.51,,,
204.51,,,
205.51,-1.940181,0.420451,
206.52,,0.139409,0.014757
207.52,,,0.027915
208.52,,,0.037682
209.52,,,
210.53,,-0.919826,-0.020024
211.53,,,
212.53,-1.662411,,-0.020478
213.53,-1.59251,,-0.001467
214.54,-1.523199,,1e-05
215.54,,,
216.54,,-1.65078,
217.54,-1.350108,,
218.55,-1.342863,-1.678152,
219.55,,,
220.55,-1.324832,,-0.016175
221.55,,-1.676118,
222.56,,-1.647735,
223.56,,-1.64761,
224.56,,-1.654298,0.018174
225.56,,,-0.025952
226.57,-1.359309,,-0.027535
227.57,-1.357915,,
228.57,,,
229.57,,-1.62736,0.010538
230.58,,,
231.58,-1.24515,,-0.016463
232.58,,,0.025947
233.58,,,0.029318
234.59,-1.169051,,
235.59,,-1.622262,-0.030673
236.59,,,
237.59,,,0.022944
238.6,,,
239.6,,-1.669274,-0.021551
240.6,,-1.646655,-0.043593
241.6,-0.993454,,
242.61,-0.971301,-1.630085,
243.61,,-1.672261,0.051733
244.61,,,-0.005225
245.61,,,-0.049669
246.62,-0.883647,,-0.033785
247.62,,,
248.62,,,0.047814
249.62,,,0.016103
250.63,-0.785012,-1.643649,
251.63,,-1.615572,-0.019348
252.63,,-1.615386,0.007156
253.63,-0.758303,,
254.64,,-1.626093,-0.004077
255.64,-0.711881,,-0.005767
256.64,,-1.613247,
257.64,-0.671774,,0.003196
258.65,,,
259.65,,,
260.65,-0.630823,,-0.006911
261.65,-0.605194,-1.583736,
262.66,,,0.011358
263.66,,-1.600661,
264.66,,-1.59366,
265.66,,,-0.02028
266.67,-0.527486,,-0.003155
267.67,,,
268.67,,,
269.67,,,
270.68,,,
271.68,,-1.55123,
272.68,-0.440704,,
273.68,,,
274.69,-0.403911,,
275.69,,-1.514207,0.016285
276.69,,-1.522053,0.030366
277.69,,,
278.7,,,-0.020042
279.7,-0.327217,,
280.7,,,
281.7,,,
282.71,,,
283.71,-0.270401,-1.504106,
284.71,,-1.488864,-0.023064
285.71,,-1.483683,
286.72,-0.251515,,0.008058
287.72,,-1.507285,
288.72,,,0.006526
289.72,-0.219769,,
290.73,-0.216488,,-0.00153
291.73,,,
292.73,,-1.503272,
293.73,-0.181833,,
294.74,,-1.504597,0.005868
295.74,,,0.011513
296.74,-0.137599,,0.017227
297.74,-0.125645,-1.515147,
298.75,,,
299.75,,,
300.75,,,0.007412
301.75,-0.078404,,
302.76,-0.066775,-1.509207,
303.76,,,
304.76,,-1.510222,
305.76,-0.019593,,0.010776
306.77,-0.009982,-1.517982,
307.77,,,-0.018911
308.77,,-1.504536,
309.77,0.0258,,0.016926
310.78,,-1.51938,
311.78,,-1.503851,-0.003928
312.78,0.053405,,
313.78,0.067635,,
314.79,,,-0.004454
315.79,0.092787,,-0.022601
316.79,,-1.490856,
317.79,,,
318.8,,,0.026472
319.8,,,
320.8,,,
321.8,0.143483,,-0.017148
322.81,,,
323.81,,,
324.81,,,
325.81,,,
326.82,0.205574,,
327.82,,-1.498966,-0.019432
328.82,,-1.475834,
329.82,,,
330.83,0.238826,-1.488704,
331.83,0.260847,-1.499167,
332.83,0.281466,,0.004168
333.83,0.290741,,-0.027397
334.84,0.290133,,
335.84,,,0.004996
336.84,0.3036,-1.483646,
337.84,,-1.493336,
338.85,0.34541,-1.474118,
339.85,,-1.453716,
340.85,,-1.453657,
341.85,,-1.461896,0.007522
342.86,,-1.463827,0.000824
343.86,,,-0.007209
344.86,,,
345.86,0.420096,,0.009451
346.87,,,
347.87,,,
348.87,,,
349.87,,,
350.88,,,
351.88,,-1.430086,0.023812
352.88,0.476436,,0.013717
353.88,,,
354.89,,,
355.89,,-1.417003,
356.89,,,
357.89,,,
358.9,,,0.0098
359.9,,-1.400087,0.019224
360.9,,,
361.9,0.589848,-1.397796,
362.91,,-1.383842,
363.91,,,
364.91,,,0.003722
365.91,,,
366.92,,,0.014487
367.92,,,
368.92,,,
369.92,,-1.335405,
370.93,,,0.018017
371.93,,-1.350066,
372.93,,-1.344763,
373.93,,,
374.94,,-1.309963,
375.94,,-1.315766,0.022369
376.94,,,
377.94,,,
378.95,0.755548,-1.298958,
379.95,,-1.278516,
380.95,,-1.276135,
381.95,,-1.288121,
382.96,,,
383.96,,,
384.96,,,
385.96,,,-0.025665
386.97,0.838781,,
387.97,,,
388.97,,,
389.97,,-1.249048,-0.016185
390.98,,,
391.98,,,
392.98,,-1.205354,0.016165
393.98,,-1.213714,0.024366
394.99,,,
395.99,,,-0.007373
396.99,0.915391,-1.182274,
397.99,0.935641,-1.16801,
399.0,,-1.159651,0.004349
400.0,,-1.164074,
