Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
7,2,2,0.012,0.0,60,70,2,43.77,0.08901401922698994
7,2,2,0.013200000000000002,0.0,80,75,3,47.42,0.08384216449520251
7,2,2,0.014520000000000003,0.0,100,80,4,50.08,0.08384216449520251
7,1,4,0.012,0.0,60,70,2,43.56,0.12941478720270896
7,1,4,0.013200000000000002,0.0,80,75,3,46.86,0.12905181198788282
7,1,4,0.014520000000000003,0.0,100,80,4,49.85,0.08345264801550836
11,1,5,0.012,0.0,60,70,2,43.68,0.1587807602465712
11,1,5,0.013200000000000002,0.0,80,75,3,47.39,0.1534617158418256
11,1,5,0.014520000000000003,0.0,100,80,4,51.09,0.14818371758829516
11,1,3,0.012,0.0,60,70,2,43.59,0.14884701464085853
11,1,3,0.013200000000000002,0.0,80,75,3,47.91,0.14884701464085853
11,1,3,0.014520000000000003,0.0,100,80,4,50.62,0.14673232060540445
11,2,2,0.012,0.0,60,70,2,45.47,0.16253223496229594
11,2,2,0.013200000000000002,0.0,80,75,3,47.27,0.1613464158572887
11,2,2,0.014520000000000003,0.0,100,80,4,50.12,0.15079218425658797
11,1,4,0.012,0.0,60,70,2,44.1,0.1512754725197567
11,1,4,0.013200000000000002,0.0,80,75,3,47.86,0.14741034343953405
11,1,4,0.014520000000000003,0.0,100,80,4,50.05,0.14116617629250172
5,1,5,0.012,0.0,60,70,2,43.51,0.4089398101268819
5,1,5,0.013200000000000002,0.0,80,75,3,47.05,0.26290761518788003
5,1,5,0.014520000000000003,0.0,100,80,4,49.76,0.26290761518788003
5,1,3,0.012,0.0,60,70,2,44.19,0.4726770700377301
5,1,3,0.013200000000000002,0.0,80,75,3,46.91,0.4344183599467828
5,1,3,0.014520000000000003,0.0,100,80,4,50.54,0.3052820838915723
5,2,2,0.012,0.0,60,70,2,43.65,0.4571113798547443
5,2,2,0.013200000000000002,0.0,80,75,3,46.89,0.31410815170997036
5,2,2,0.014520000000000003,0.0,100,80,4,50.97,0.2989388588336149
5,1,4,0.012,0.0,60,70,2,44.35,0.4261044480682781
5,1,4,0.013200000000000002,0.0,80,75,3,46.75,0.3057072809703336
5,1,4,0.014520000000000003,0.0,100,80,4,50.16,0.14536066725670732
8,1,5,0.012,0.0,60,70,2,43.52,0.8516031250417915
8,1,5,0.013200000000000002,0.0,80,75,3,46.77,0.8220967714401745
8,1,5,0.014520000000000003,0.0,100,80,4,50.07,0.7979717005882481
8,1,3,0.012,0.0,60,70,2,43.76,0.8594129499036898
8,1,3,0.013200000000000002,0.0,80,75,3,47.88,0.8332597831177289
8,1,3,0.014520000000000003,0.0,100,80,4,50.26,0.8332597831177289
8,2,2,0.012,0.0,60,70,2,44.31,0.8702144018812814
8,2,2,0.013200000000000002,0.0,80,75,3,47.08,0.8529123756487567
8,2,2,0.014520000000000003,0.0,100,80,4,50.2,0.8470896294729714
8,1,4,0.012,0.0,60,70,2,43.64,0.8662867210614321
8,1,4,0.013200000000000002,0.0,80,75,3,46.87,0.8238828864193761
8,1,4,0.014520000000000003,0.0,100,80,4,51.46,0.7896622162055078
