Time,b1,b2,b3,b4
0.0,-0.7336462196031376,0.14384233284687156,0.7060771369891244,-0.17141141546088473
1.0,-0.7241813693965093,0.2130060460891999,0.6667923109159173,-0.27039510456979177
2.01,-0.662606936703431,0.33860421516871475,0.6856595831493587,-0.315551568722787
3.01,-0.6045319259751519,0.43346928239339133,0.683333791109021,-0.3546674172595222
4.01,-0.5663874041173045,0.5071195810222172,0.6715491454136399,-0.40195783972588184
5.01,-0.5726894479315937,0.5233555915498335,0.6075915826242916,-0.48845345685713565
6.02,-0.5624726583856395,0.5479968056320998,0.5459654397436027,-0.5645040242741367
7.02,-0.5483837028535171,0.5762652325852273,0.5078039991011734,-0.6168449363375711
8.02,-0.5088927558308224,0.624647605934735,0.5055997504273636,-0.6279406113381938
9.02,-0.4734217682862596,0.6706378642178988,0.531001568467585,-0.6130580640365736
10.03,-0.46786772724871967,0.686726209385721,0.5402287235321245,-0.6143652131023163
11.03,-0.4925678097220017,0.6617224276605854,0.5179828436164936,-0.6363073937660937
12.03,-0.5499725369272023,0.5941834827579238,0.4052428007494425,-0.7389132189356834
13.03,-0.19434282584174994,0.8171869402101897,0.34228859601276607,-0.6692411700391737
14.04,-0.10204632636412277,0.8086687944596951,0.4238789439074378,-0.4868361769163801
15.04,-0.4375754478841231,0.42230047182582037,0.34182998802555375,-0.5180459316843897
16.04,-0.5235347811660606,0.23772176898297667,0.40218496687051036,-0.35907158327852684
17.04,-0.5365953799139985,0.08853652290778831,0.4508267386396737,-0.17430516418211311
18.05,-0.4461114714795656,0.04637809605253311,0.5626863612357959,0.07019679370369727
19.05,-0.4439184916599744,-0.09025169236594019,0.5528305333855474,0.19916373409151336
20.05,-0.46561570096513516,-0.25596451894434075,0.4849732308624833,0.275322048841689
21.05,-0.47425246079593314,-0.4164431672580122,0.37369835325140366,0.31588905971348286
22.06,-0.409040006518051,-0.498823958792245,0.3183837645752395,0.40816771684943365
23.06,-0.2774669815661936,-0.5231872720927555,0.31124570853788475,0.5569659990644467
