Time [s],Longitude [rad],Latitude [rad],Altitude [m],V North [m/s],V East [m/s],V Down [m/s],Roll [rad],Pitch [rad],Yaw [rad]
1.0025062656641603,0.6089752290050123,0.5733545985267413,-34.143768,0.23121000000000014,0.24691799999999997,0.041406000000000054,-0.0535816080362259,0.2766346864411013,2.747619516443698
2.0050125313283207,0.6089753380880907,0.5733543543551789,-33.636391,0.265196,0.279084,-0.055804000000000076,0.0426383936262214,0.3170216053322501,2.525002683085359
3.007518796992481,0.6089755180315364,0.5733541543404466,-33.08667,0.36331999999999987,0.28127800000000003,0.045296,-0.0698131700797731,0.29630456456437,2.255035119480291
4.010025062656641,0.6089757536509854,0.5733540094781188,-32.588127,0.354202,0.22012600000000004,0.021407000000000065,0.0263370184125944,0.3047170341056902,2.018263840421203
5.012531328320802,0.608975997473482,0.5733539243060511,-32.095142,0.364719,0.10362800000000005,0.00808099999999995,-0.0567755605673755,0.3096214093037941,1.7766753304535623
6.015037593984962,0.6089762739336355,0.5733539044092978,-31.627916,0.353086,0.07502699999999995,0.03206300000000001,0.0162490153360672,0.3081378619863064,1.5513708296734925
7.017543859649122,0.6089765467285976,0.5733539257023147,-31.176598,0.320054,-0.016066000000000136,0.0068070000000000075,-0.0105766952670856,0.3214722123781282,1.3340598146945082
8.020050125313283,0.608976816381967,0.5733540028458675,-30.732691,0.31173,-0.06331199999999981,0.01086100000000001,0.011082840750164,0.3214896482173557,1.1149861917039352
9.022556390977442,0.6089770713745707,0.5733541201319933,-30.301252,0.28590099999999996,-0.10986000000000007,0.010813000000000017,0.032306044454415,0.3331659183664901,0.9032078879070654
10.025062656641603,0.6089772980928406,0.5733542777352247,-29.863136,0.24065099999999995,-0.16577799999999998,-0.016693000000000013,0.020298179200694,0.3360456941789884,0.6887069053836701
11.027568922305765,0.6089774946169144,0.5733544718158375,-29.425703,0.21159600000000012,-0.19336600000000004,0.012971999999999984,0.0433539786195391,0.3372325355236369,0.4770333737017975
12.030075187969924,0.6089776532673433,0.5733546913782575,-28.985897,0.14737899999999993,-0.22674899999999998,-0.012073999999999974,0.0258657795145559,0.3427477410533539,0.2673146107821589
13.032581453634084,0.6089777672373435,0.5733549306628979,-28.545311,0.1033090000000001,-0.2435130000000001,0.01003499999999996,0.0404741853537484,0.337511788203956,0.0599346065134852
14.035087719298245,0.6089778339089209,0.5733551875753639,-28.102665,0.12977899999999987,-0.27996099999999996,-0.017362999999999962,0.0049741883681838,0.3337069355280233,-0.1092050593110667
15.037593984962406,0.6089778531075427,0.5733554629883197,-27.637705,0.11970900000000007,-0.21004099999999998,-0.023567000000000005,0.0164410015537865,0.3316649177564825,-0.1815141374876552
16.040100250626566,0.6089778342579868,0.5733557621377535,-27.139206,0.11407600000000007,-0.11995299999999999,-0.044457000000000024,0.0619242818607588,0.3265685388873665,-0.187500913527969
17.042606516290725,0.6089777801527799,0.573356085547264,-26.598347,0.11410099999999979,-0.05438700000000002,-0.03920899999999994,0.0390255620745932,0.3203900558820141,-0.1694889062078773
18.045112781954884,0.6089777244767768,0.5733564267591327,-26.019449,0.10138700000000034,-0.006394999999999984,-0.03549800000000003,0.0298974900866628,0.3174753734844759,-0.1480387398876958
19.047619047619047,0.6089776759566237,0.5733567838534978,-25.411806,0.09167099999999984,0.008589999999999987,-0.024584999999999968,0.0312763001957383,0.3152413694952158,-0.1353855216897585
20.050125313283207,0.6089776316252605,0.5733571545614308,-24.787458,0.08456000000000019,0.0018440000000000123,-0.013327000000000089,0.0215548162621299,0.314141829519752,-0.1307777128381533
21.052631578947366,0.6089775930534841,0.573357536788537,-24.151867,0.07718099999999994,-0.012101,-0.011048999999999976,0.0143989663289532,0.3141243413206469,-0.1310216749609963
22.05513784461153,0.6089775539581089,0.573357928614954,-23.500498,0.06654199999999966,-0.022447999999999996,-0.021648,0.0081332343142935,0.3160442209511331,-0.134372986377506
23.05764411027569,0.6089775113720752,0.5733583296916162,-22.822145,0.05596200000000007,-0.018052000000000012,-0.02924899999999997,0.0081855941918534,0.31707396520981,-0.1364326843343699
24.06015037593985,0.6089774651208499,0.5733587396694575,-22.115744,0.04653700000000027,-0.004520999999999997,-0.02442600000000006,0.0081506876068135,0.315346106703628,-0.1360486420857605
25.062656641604008,0.6089774176478943,0.5733591540106219,-21.392675,0.03904899999999989,0.0067969999999999975,-0.008708999999999967,0.0080459678516938,0.3125884690321845,-0.1347570111728224
26.065162907268167,0.6089773724438666,0.573359573762307,-20.66815,0.0373199999999998,-9.099999999997999e-05,0.004628999999999994,0.0052883476335428,0.3106336653633659,-0.1346696574437598
27.06766917293233,0.6089773254945099,0.5733599970046506,-19.949408,0.014873000000000136,-0.016735,0.006334000000000062,-0.0084823001646924,0.3117681817370397,-0.1376018105871106
28.07017543859649,0.6089772752290273,0.5733604193743296,-19.234533,0.0016929999999999445,-0.031209000000000015,-0.000316000000000094,-0.0120078652537209,0.3147177707196176,-0.1446533247376031
29.07268170426065,0.6089772183312937,0.5733608420930744,-18.514189,-0.003301999999999694,-0.026665999999999995,-0.006516999999999995,-0.0107163216072451,0.315398466581188,-0.1486672329513399
30.07518796992481,0.6089771565466382,0.5733612625428911,-17.790686,-0.004857000000000333,-0.00042999999999998595,0.0009029999999999871,-0.0050090949532237,0.3153111826652957,-0.1450544013997119
31.07769423558897,0.6089770965073119,0.5733616800256482,-17.067869,-0.006412000000000084,0.006877999999999995,0.0005960000000000409,0.0026703537555513,0.3160442209511331,-0.1415635160029203
