ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s],DVL X [m/s],DVL Y [m/s],DVL Z [m/s]
0.000667,0.001325,-0.098315,3.50E-05,4.50E-05,3.50E-05,2.156096354,0.244661555,-0.036804249
0.000559,0.000422,-0.09799,-8.00E-06,-2.60E-05,-6.00E-06,2.132492907,0.284830006,-0.033661028
0.000211,0.000242,-0.097873,5.00E-05,-6.30E-05,-4.40E-05,2.128096078,0.294891767,-0.012196005
-0.000292,0.000741,-0.097557,-0.000142,-3.50E-05,-4.20E-05,2.111454856,0.295412835,-0.014176366
-0.000636,0.001423,-0.098145,2.70E-05,-2.60E-05,-3.90E-05,2.079539804,0.299360166,-0.036529166
-0.000889,0.001193,-0.098168,1.80E-05,-3.10E-05,-2.70E-05,2.051242941,0.302629017,-0.06093945
-0.001435,0.00085,-0.097882,9.90E-05,-6.00E-05,-1.40E-05,2.01270608,0.321669345,-0.066928229
-0.002255,0.00028,-0.097709,-5.80E-05,-7.70E-05,-2.20E-05,1.985856825,0.337966254,-0.045380171
-0.002564,0.000822,-0.097514,5.00E-06,-4.80E-05,-4.20E-05,1.978767281,0.334997512,-0.017772418
-0.002636,0.001147,-0.097829,5.00E-06,9.00E-06,-4.00E-05,1.964438726,0.326156314,-0.008521893
-0.002399,0.000755,-0.09804,2.60E-05,4.00E-05,-1.90E-05,1.937779785,0.316445511,-0.024762788
-0.002429,0.000849,-0.098089,-1.00E-06,1.20E-05,-8.00E-06,1.907957406,0.326915664,-0.03895319
-0.00229,0.000961,-0.09808,1.40E-05,-1.00E-05,-2.80E-05,1.866680559,0.335812955,-0.038799842
-0.002551,0.000532,-0.097776,2.90E-05,-2.50E-05,-4.20E-05,1.857817693,0.357378612,-0.019364094
-0.002546,0.000657,-0.097707,-3.10E-05,2.00E-06,-4.50E-05,1.840638137,0.351398083,0.007259539
-0.002376,0.000555,-0.097862,5.50E-05,3.20E-05,-3.70E-05,1.834967747,0.344105637,0.018518989
-0.001868,0.000772,-0.098061,-7.00E-05,6.00E-05,-2.20E-05,1.81996914,0.324418415,0.005301816
-0.001444,0.000704,-0.098485,1.80E-05,5.50E-05,-7.00E-06,1.782830944,0.342025408,-0.014990955
-0.001175,0.000682,-0.098046,2.10E-05,2.30E-05,-8.00E-06,1.757508074,0.340993463,-0.024088188
-0.000964,0.000313,-0.097844,8.50E-05,-1.60E-05,-1.80E-05,1.713404568,0.462529062,-0.030082689
-0.001783,0.000972,-0.097716,0.000647,-2.80E-05,-0.000444,1.613217254,0.802971845,-0.045117849
2.20E-05,-0.006534,-0.097783,0.000251,-7.70E-05,-0.001624,1.559954043,1.016084691,-0.068464685
0.000572,-0.010491,-0.096243,3.30E-05,-6.80E-05,-0.002102,1.448411333,1.109323768,-0.029255733
0.002313,-0.008254,-0.099809,-0.000825,-6.50E-05,-0.002166,1.325603002,1.099153085,-0.060448801
0.001868,-0.003262,-0.097418,0.000318,-0.000107,-0.002144,1.268860822,1.017569507,-0.03672245
0.001434,-0.005189,-0.098972,-0.000473,-7.40E-05,-0.001816,1.268808023,0.904898349,-0.020351654
0.000783,0.000222,-0.097138,0.000212,-2.00E-05,-0.001562,1.29810924,0.809187875,-0.017372305
-0.000208,-0.004116,-0.097664,0.000365,-3.00E-06,-0.001318,1.348131151,0.730342805,-0.023666773
0.00098,-0.007351,-0.098506,0.000123,-1.40E-05,-0.00116,1.407648153,0.648001639,-0.009571978
0.000661,-0.006562,-0.096823,7.50E-05,1.20E-05,-0.000987,1.484697528,0.545647898,-0.003707985
0.000767,-0.008503,-0.097624,0.000181,-1.90E-05,-0.000736,1.559985095,0.469274091,0.000113614
0.001078,-0.007081,-0.098349,-0.000107,-2.70E-05,-0.000576,1.62793334,0.400035692,-0.007272103
0.000244,-0.007219,-0.098129,-0.000152,-2.10E-05,-0.00041,1.622334124,0.259870038,-0.014361108
-8.00E-05,-0.003631,-0.097902,-0.000193,-1.00E-05,-4.50E-05,1.640400941,0.136602322,-0.011332913
-6.60E-05,-0.003248,-0.097484,0.000116,2.00E-06,0.000313,1.655476361,0.032083864,0.014167659
0.000125,-0.003601,-0.097614,0.000112,2.40E-05,0.000603,1.690781534,-0.012258206,0.042638638
0.000317,-0.003711,-0.09772,-4.70E-05,7.60E-05,0.000798,1.708468134,-0.043819677,0.040537423
