Time,V_X,V Y,V_Z,SWITCH VALUE
05:58:00.932,2.7199978828430176,-0.07900649309158325,-0.054848670959472656,1
05:58:01.002,1.6576595306396484,-0.02770601585507393,-0.0275788065046072,1
05:58:01.072,2.0771098136901855,-0.060251884162425995,-0.042001873254776,1
05:58:01.142,1.9317829608917236,-0.05027336999773979,-0.027981748804450035,1
05:58:01.212,2.007999897003174,-0.06154823675751686,-0.035189926624298096,1
05:58:01.282,1.9556043148040771,-0.044038403779268265,-0.0440363809466362,1
05:58:01.352,1.9014489650726318,-0.04022062569856644,-0.05458730086684227,1
05:58:01.422,1.9087340831756592,-0.037276268005371094,-0.05254361778497696,1
05:58:01.492,1.9180601835250854,-0.03568436950445175,-0.04822127893567085,1
05:58:01.562,1.9105461835861206,-0.03297359496355057,-0.049184102565050125,1
05:58:01.632,1.9263584613800049,-0.04354546219110489,-0.03985718637704849,1
05:58:01.702,1.9554641246795654,-0.045002248138189316,-0.04158473014831543,1
05:58:01.772,1.9688483476638794,-0.05286136642098427,-0.03325135260820389,1
05:58:01.842,1.986619234085083,-0.05049766227602959,-0.03903917968273163,1
05:58:01.912,1.9658737182617188,-0.04749909043312073,-0.040232982486486435,1
05:58:01.982,1.9794635772705078,-0.05103687569499016,-0.038060612976551056,1
05:58:02.052,1.9794636964797974,-0.04831505939364433,-0.040220655500888824,1
05:58:02.122,2.002239465713501,-0.05502539873123169,-0.0358860082924366,1
05:58:02.192,1.962220549583435,-0.04606654495000839,-0.04085677117109299,1
05:58:02.262,1.9933345317840576,-0.04617718607187271,-0.03419766575098038,1
05:58:02.332,1.9732390642166138,-0.037345774471759796,-0.040869615972042084,1
05:58:02.402,1.9790127277374268,-0.047119397670030594,-0.040696196258068085,1
05:58:02.472,2.0051984786987305,-0.05229362100362778,-0.038231343030929565,1
05:58:02.542,2.0116219520568848,-0.05292998626828194,-0.036606356501579285,1
05:58:02.612,2.019224166870117,-0.05304728448390961,-0.033699266612529755,0
05:58:02.682,2.0054004192352295,-0.051188189536333084,-0.03557519614696503,1
05:58:02.752,1.993401050567627,-0.045134738087654114,-0.03837698698043823,1
05:58:02.822,2.051804780960083,-0.05698263645172119,-0.02879471704363823,1
05:58:02.892,2.0220947265625,-0.048634592443704605,-0.03702767193317413,1
05:58:02.962,2.0442488193511963,-0.0574166402220726,-0.028009923174977303,1
05:58:03.032,2.0460476875305176,-0.05010208860039711,-0.031244538724422455,1
05:58:03.102,2.0320417881011963,-0.05497996509075165,-0.03649891912937164,1
05:58:03.172,1.9929660558700562,-0.04391493275761604,-0.045740894973278046,1
05:58:03.242,2.044095277786255,-0.05461181700229645,-0.036818332970142365,1
05:58:03.312,2.0445539951324463,-0.04485328495502472,-0.04029682278633118,1
05:58:03.382,2.0368595123291016,-0.051266975700855255,-0.03601803630590439,1
05:58:03.452,2.041797637939453,-0.04878884181380272,-0.03616642951965332,1
05:58:03.522,2.057682991027832,-0.05702201649546623,-0.03622591868042946,1
05:58:03.592,2.0718953609466553,-0.05378631129860878,-0.03785383328795433,1
05:58:03.662,2.033379554748535,-0.048044025897979736,-0.04438721388578415,0
05:58:03.732,2.022523880004883,-0.042556438595056534,-0.035948943346738815,1
05:58:03.802,2.0786142349243164,-0.05019444227218628,-0.04476769268512726,1
05:58:03.872,2.0647406578063965,-0.04876672476530075,-0.04163746535778046,1
05:58:03.942,2.0902371406555176,-0.052021123468875885,-0.04008715599775314,1
05:58:04.012,2.0733025074005127,-0.05518699809908867,-0.03921414911746979,1
05:58:04.082,2.037428140640259,-0.04126127436757088,-0.053921401500701904,1
05:58:04.152,2.018057346343994,-0.033385489135980606,-0.046563636511564255,1
05:58:04.222,2.044809341430664,-0.03877741098403931,-0.03798381984233856,1
05:58:04.292,2.03674054145813,-0.03664613887667656,-0.041184309870004654,1
05:58:04.362,2.0228075981140137,-0.03614407777786255,-0.0499848909676075,1
05:58:04.432,2.0178098678588867,-0.04022621363401413,-0.041956059634685516,1
05:58:04.502,2.0238966941833496,-0.04147622734308243,-0.0393519252538681,1
05:58:04.572,2.022087812423706,-0.04215877875685692,-0.03598160669207573,1
05:58:04.642,2.0181188583374023,-0.043423883616924286,-0.036924347281455994,1
05:58:04.712,2.03105092048645,-0.05562902241945267,-0.019959812983870506,1
05:58:04.782,2.059720516204834,-0.05221790820360184,-0.03573780506849289,1
05:58:04.852,2.002023696899414,-0.0486673042178154,-0.024765439331531525,1
05:58:04.922,2.073481798171997,-0.06080358475446701,-0.023030098527669907,1
05:58:04.992,2.057544231414795,-0.06225704774260521,-0.018888764083385468,1
05:58:05.062,2.063325881958008,-0.061486002057790756,-0.020927637815475464,1
05:58:05.132,2.0316457748413086,-0.0515870600938797,-0.030667122453451157,1
05:58:05.202,2.0102431774139404,-0.04323752596974373,-0.038665756583213806,1
05:58:05.272,1.9612497091293335,-0.04052840173244476,-0.045145414769649506,1
05:58:05.342,1.9585955142974854,-0.04091622680425644,-0.043101951479911804,1
05:58:05.412,1.9619815349578857,-0.04761277884244919,-0.03828388452529907,1
05:58:05.482,1.985352873802185,-0.04566730558872223,-0.035254426300525665,1
05:58:05.552,1.977732539176941,-0.04947611689567566,-0.03482552617788315,1
05:58:05.622,1.9748804569244385,-0.0425744354724884,-0.03467487543821335,1
05:58:05.692,1.9648587703704834,-0.045143820345401764,-0.031242836266756058,1
05:58:05.762,1.9764289855957031,-0.05301504582166672,-0.03060324862599373,1
05:58:05.832,1.9410114288330078,-0.04436413571238518,-0.03925423324108124,1
05:58:05.902,1.9588476419448853,-0.05039456486701965,-0.03396546095609665,1
05:58:05.972,1.9655537605285645,-0.05821689963340759,-0.029670475050807,1
05:58:06.042,1.9173450469970703,-0.020340237766504288,-0.06291962414979935,1
05:58:06.112,1.920179843902588,-0.04352924972772598,-0.03643818944692612,1
05:58:06.182,1.935523271560669,-0.03893110901117325,-0.03533107042312622,1
05:58:06.252,1.9534587860107422,-0.051769644021987915,-0.029868079349398613,1
05:58:06.322,1.9647295475006104,-0.049425333738327026,-0.028124995529651642,1
05:58:06.392,1.9922713041305542,-0.05326874554157257,-0.02716771885752678,1
05:58:06.462,1.9485182762145996,-0.04723658412694931,-0.02930421754717827,1
05:58:06.532,1.9471409320831299,-0.05346418172121048,-0.03240380063652992,1
05:58:06.602,1.926506519317627,-0.04754720255732536,-0.03257768973708153,1
05:58:06.672,1.9583073854446411,-0.048980701714754105,-0.030233805999159813,1
05:58:06.742,1.9384099245071411,-0.0541062094271183,-0.0283981803804636,1
05:58:06.812,1.940854549407959,-0.0570736788213253,-0.030329763889312744,1
05:58:06.882,1.9082472324371338,-0.04374696686863899,-0.032648809254169464,1
05:58:06.952,1.9161019325256348,-0.04809243232011795,-0.029991621151566505,1
