Trajectory,NumSamples,InputSize,EpochsTrained,AvgBestRMSE,TrainingTime,TrainedOn,RemovalMethod
Trajectory13,1355,22,100,1.3841967829439297,37.16384267807007,NONE,RangeRemoval
Trajectory14,1755,22,100,0.38453512184723104,49.036197662353516,"Trajectory13:100,Trajectory13:100",RangeRemoval
Trajectory15,926,22,100,0.06093714089224334,24.9440438747406,"Trajectory13:100,Trajectory13:100,Trajectory14:100,Trajectory14:100",RangeRemoval
