Trajectory,NumSamples,InputSize,EpochsTrained,AvgBestRMSE,TrainingTime,TrainedOn
Trajectory1,397,22,30,0.15374373509450892,13.359324932098389,None
Trajectory2,397,22,40,0.0878022196581985,17.6971652507782,Trajectory1:30
