Trajectory,NumSamples,InputSize,EpochsTrained,AvgBestRMSE,TrainingTime,TrainedOn,MissingPercentage
Trajectory1,397,22,30,0.14140229677796895,7.569934844970703,NONE,b1_20-b2_15-b3_10-b4_5
Trajectory2,397,22,40,0.06757931592905585,10.094728946685791,Trajectory1:30,b1_20-b2_15-b3_10-b4_5
