Beam,RMSE_vs_Original,RMSE_vs_MovingAvg
b1,0.03832800961453372,0.037576736974151745
b2,0.058828576992574606,0.058257371832577474
b3,0.03302432153756121,0.03215931532719285
b4,0.0366714804197235,0.035705224611616695
