Trajectory,NumSamples,InputSize,EpochsTrained,AvgBestRMSE,TrainingTime,TrainedOn,MissingPercentage
Trajectory1,397,22,30,0.15427245640426474,12.828721523284912,NONE,b1_20-b2_15-b3_10-b4_5
Trajectory2,397,22,40,0.0867151647483051,16.850677728652954,Trajectory1:30,b1_20-b2_15-b3_10-b4_5
