Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
9,1,5,0.001,0.0,60,70,2,1739441513.27,2.7708087344904477
9,1,5,0.0011,0.0,80,75,3,1739441574.64,2.4728613030163538
9,1,5,0.0012100000000000001,0.0,100,80,4,1739441639.41,0.794265695535796
9,1,3,0.001,0.0,60,70,2,1739441695.14,2.896800288105076
9,1,3,0.0011,0.0,80,75,3,1739441754.8,2.1422842272216953
9,1,3,0.0012100000000000001,0.0,100,80,4,1739441819.33,0.8041593538108258
9,2,2,0.001,0.0,60,70,2,1739441875.4,2.3957923855779173
9,2,2,0.0011,0.0,80,75,3,1739441935.56,1.9011348041884808
9,2,2,0.0012100000000000001,0.0,100,80,4,1739442000.25,1.9011348041884808
9,1,4,0.001,0.0,60,70,2,1739442055.41,2.448393105044655
9,1,4,0.0011,0.0,80,75,3,1739442116.71,2.448393105044655
9,1,4,0.0012100000000000001,0.0,100,80,4,1739442181.67,0.711329444455245
6,1,5,0.001,0.0,60,70,2,1739442238.8,2.490178773970151
6,1,5,0.0011,0.0,80,75,3,1739442299.62,2.3134491864967126
6,1,5,0.0012100000000000001,0.0,100,80,4,1739442365.39,0.5302897973566408
6,1,3,0.001,0.0,60,70,2,1739442422.28,3.4785651088886724
6,1,3,0.0011,0.0,80,75,3,1739442483.36,2.0778525866913813
6,1,3,0.0012100000000000001,0.0,100,80,4,1739442548.5,1.220809236552857
6,2,2,0.001,0.0,60,70,2,1739442604.12,2.6026575735441626
6,2,2,0.0011,0.0,80,75,3,1739442664.25,2.2337561696635917
6,2,2,0.0012100000000000001,0.0,100,80,4,1739442729.21,1.9739566317408082
6,1,4,0.001,0.0,60,70,2,1739442786.42,1.9094888886890609
6,1,4,0.0011,0.0,80,75,3,1739442847.39,1.9094888886890609
6,1,4,0.0012100000000000001,0.0,100,80,4,1739442914.22,0.49327751606981995
13,1,5,0.001,0.0,60,70,2,1739442974.44,2.3891642911156237
13,1,5,0.0011,0.0,80,75,3,1739443043.33,2.3891642911156237
13,1,5,0.0012100000000000001,0.0,100,80,4,1739443116.95,0.4340797077809904
13,1,3,0.001,0.0,60,70,2,1739443180.92,1.4024463529717601
13,1,3,0.0011,0.0,80,75,3,1739443249.59,1.4024463529717601
13,1,3,0.0012100000000000001,0.0,100,80,4,1739443323.04,0.5109450252477046
13,2,2,0.001,0.0,60,70,2,1739443386.75,3.0141964263991636
13,2,2,0.0011,0.0,80,75,3,1739443454.8,1.4455435025983343
13,2,2,0.0012100000000000001,0.0,100,80,4,1739443528.1,1.4455435025983343
13,1,4,0.001,0.0,60,70,2,1739443591.05,2.481297060158788
13,1,4,0.0011,0.0,80,75,3,1739443658.68,2.481297060158788
13,1,4,0.0012100000000000001,0.0,100,80,4,1739443731.86,1.1063807986798635
12,1,5,0.001,0.0,60,70,2,1739443795.15,2.508854011449299
12,1,5,0.0011,0.0,80,75,3,1739443862.54,2.508854011449299
12,1,5,0.0012100000000000001,0.0,100,80,4,1739443935.73,0.305382912625754
12,1,3,0.001,0.0,60,70,2,1739443999.1,2.1788664421037875
12,1,3,0.0011,0.0,80,75,3,1739444066.88,1.546465514447511
12,1,3,0.0012100000000000001,0.0,100,80,4,1739444142.03,0.6092558981729823
12,2,2,0.001,0.0,60,70,2,1739444205.48,2.2027322559489315
12,2,2,0.0011,0.0,80,75,3,1739444274.01,2.2027322559489315
12,2,2,0.0012100000000000001,0.0,100,80,4,1739444347.84,2.1612510169102017
12,1,4,0.001,0.0,60,70,2,1739444411.19,2.1410296881514412
12,1,4,0.0011,0.0,80,75,3,1739444479.22,2.1410296881514412
12,1,4,0.0012100000000000001,0.0,100,80,4,1739444552.56,0.5163146161317773
3,1,5,0.001,0.0,60,70,2,1739444615.33,3.2627541470851145
3,1,5,0.0011,0.0,80,75,3,1739444683.06,2.3125841025542817
