Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,DVL2_1,DVL2_2,DVL2_3,DVL2_4,DVL3_1,DVL3_2,DVL3_3,DVL3_4,DVL4_1,DVL4_2,DVL4_3,DVL4_4,V North,V East,V Down
5.01,0.001096,0.000476,-0.097805,8.8e-05,3e-06,4.000000000000005e-06,0.4673056555198112,-0.5365419377641755,-0.4665447580757539,0.5373028352082329,0.4549668583295075,-0.5478347992325017,-0.4753707353036411,0.5274309222583681,0.4551823937472459,-0.5508602803287336,-0.47177594281307067,0.5342667312629089,0.4640196054364476,-0.5349932491092271,-0.45933097982766763,0.539681874718007,0.4795211515393405,-0.5205615463783039,-0.44596485324328994,0.5541178446743545,-0.342661,2.037218,-0.031616
6.02,0.001144,-0.0003879999999999,-0.097943,-5.999999999999999e-06,-1.9999999999999995e-06,-1e-05,0.46637214190428555,-0.5343751923842217,-0.45978556995037423,0.5409617643381331,0.4673056555198112,-0.5365419377641755,-0.4665447580757539,0.5373028352082329,0.4549668583295075,-0.5478347992325017,-0.4753707353036411,0.5274309222583681,0.4551823937472459,-0.5508602803287336,-0.47177594281307067,0.5342667312629089,0.4640196054364476,-0.5349932491092271,-0.45933097982766763,0.539681874718007,-0.338762,2.034072,-0.023304
7.02,0.001063,5.200000000000599e-05,-0.097874,2.9e-05,-2.7e-05,-1.5999999999999996e-05,0.45618377154791706,-0.5430900117777523,-0.4726872026352842,0.5265865806903852,0.46637214190428555,-0.5343751923842217,-0.45978556995037423,0.5409617643381331,0.4673056555198112,-0.5365419377641755,-0.4665447580757539,0.5373028352082329,0.4549668583295075,-0.5478347992325017,-0.4753707353036411,0.5274309222583681,0.4551823937472459,-0.5508602803287336,-0.47177594281307067,0.5342667312629089,-0.33404,2.03223,-0.015782
8.02,0.000896,0.000608,-0.098056,7.000000000000001e-06,-2.7e-05,-1.1e-05,0.4471468331349962,-0.5587543239151174,-0.4887795938978314,0.5171215631522824,0.45618377154791706,-0.5430900117777523,-0.4726872026352842,0.5265865806903852,0.46637214190428555,-0.5343751923842217,-0.45978556995037423,0.5409617643381331,0.4673056555198112,-0.5365419377641755,-0.4665447580757539,0.5373028352082329,0.4549668583295075,-0.5478347992325017,-0.4753707353036411,0.5274309222583681,-0.335107,2.03572,-0.021343
9.02,0.000797,0.000387,-0.098053,-5.6e-05,-1.7e-05,4.999999999999996e-06,0.43918674787443757,-0.5712882611640403,-0.49821324557965013,0.5122617634588276,0.4471468331349962,-0.5587543239151174,-0.4887795938978314,0.5171215631522824,0.45618377154791706,-0.5430900117777523,-0.4726872026352842,0.5265865806903852,0.46637214190428555,-0.5343751923842217,-0.45978556995037423,0.5409617643381331,0.4673056555198112,-0.5365419377641755,-0.4665447580757539,0.5373028352082329,-0.340758,2.043292,-0.035292
10.03,0.000502,0.000408,-0.097948,2.2e-05,6.123233995736766e-23,-9.99999999999999e-07,0.46201321385740646,-0.5515836910407873,-0.4845055330550371,0.5290913718431568,0.43918674787443757,-0.5712882611640403,-0.49821324557965013,0.5122617634588276,0.4471468331349962,-0.5587543239151174,-0.4887795938978314,0.5171215631522824,0.45618377154791706,-0.5430900117777523,-0.4726872026352842,0.5265865806903852,0.46637214190428555,-0.5343751923842217,-0.45978556995037423,0.5409617643381331,-0.342438,2.050411,-0.034776
11.03,0.000616,0.000225,-0.097803,3.000000000000001e-06,7.000000000000001e-06,-1.2e-05,0.47267915612270034,-0.5347459854366726,-0.4584850801868054,0.5489400613725678,0.46201321385740646,-0.5515836910407873,-0.4845055330550371,0.5290913718431568,0.43918674787443757,-0.5712882611640403,-0.49821324557965013,0.5122617634588276,0.4471468331349962,-0.5587543239151174,-0.4887795938978314,0.5171215631522824,0.45618377154791706,-0.5430900117777523,-0.4726872026352842,0.5265865806903852,-0.335882,2.050288,-0.015082
12.03,0.000643,-0.0001339999999999,-0.097634,-1.0999999999999998e-05,-1e-05,-1.4e-05,0.4745018785977154,-0.5269259246665328,-0.4544484562250052,0.5469793470392429,0.47267915612270034,-0.5347459854366726,-0.4584850801868054,0.5489400613725678,0.46201321385740646,-0.5515836910407873,-0.4845055330550371,0.5290913718431568,0.43918674787443757,-0.5712882611640403,-0.49821324557965013,0.5122617634588276,0.4471468331349962,-0.5587543239151174,-0.4887795938978314,0.5171215631522824,-0.32438,2.039979,0.006326
13.03,-4.999999999993995e-06,-0.0003049999999999,-0.098078,-1.7e-05,-4.3e-05,9.999999999999964e-07,0.4450147685039526,-0.5448490674850991,-0.46907636514101325,0.5207874708480384,0.4745018785977154,-0.5269259246665328,-0.4544484562250052,0.5469793470392429,0.47267915612270034,-0.5347459854366726,-0.4584850801868054,0.5489400613725678,0.46201321385740646,-0.5515836910407873,-0.4845055330550371,0.5290913718431568,0.43918674787443757,-0.5712882611640403,-0.49821324557965013,0.5122617634588276,-0.319609,2.024148,0.010078
14.04,-0.0001589999999999,0.000102,-0.098034,6.999999999999999e-06,-5.2e-05,1.1999999999999995e-05,0.44007041823841997,-0.5595384461500369,-0.4873859057104795,0.5122229586779773,0.4450147685039526,-0.5448490674850991,-0.46907636514101325,0.5207874708480384,0.4745018785977154,-0.5269259246665328,-0.4544484562250052,0.5469793470392429,0.47267915612270034,-0.5347459854366726,-0.4584850801868054,0.5489400613725678,0.46201321385740646,-0.5515836910407873,-0.4845055330550371,0.5290913718431568,-0.32495,2.019199,-0.000859
15.04,-0.0006109999999999,-0.0003989999999999,-0.098073,2.7e-05,-2.9e-05,1.3e-05,0.43731276061064595,-0.5692297441624314,-0.502065085279285,0.5044774194937924,0.44007041823841997,-0.5595384461500369,-0.4873859057104795,0.5122229586779773,0.4450147685039526,-0.5448490674850991,-0.46907636514101325,0.5207874708480384,0.4745018785977154,-0.5269259246665328,-0.4544484562250052,0.5469793470392429,0.47267915612270034,-0.5347459854366726,-0.4584850801868054,0.5489400613725678,-0.336221,2.030843,-0.013857
