Time [s],V North [m/s],V East [m/s],V Down [m/s]
0.0,-1.754538941498513,-0.20886636199647476,-0.6915575737172098
1.0025062656641603,-1.7379919237240913,-0.027677476217119964,-0.549018438898077
2.0050125313283207,-1.5444439473118072,0.44209088749342385,-0.5142651122137298
3.007518796992481,-1.3497762299849352,0.8038823807728969,-0.49306149779165903
4.010025062656641,-1.0467931443602698,1.1225467832742817,-0.47035917235969826
5.012531328320802,-0.7366687275246235,1.3627777237009469,-0.46473998508060066
6.015037593984962,-0.4207310115056406,1.511207929375984,-0.42875738682685194
7.017543859649122,-0.08105379783680125,1.6036266827083527,-0.4297658776671713
8.020050125313283,0.2408055439089896,1.6374702056135353,-0.42141695873880286
9.022556390977442,0.5530934538212542,1.584018809418892,-0.4474083319007741
10.025062656641603,0.8560027597522336,1.5000434175753363,-0.4342840310884847
11.027568922305765,1.112396535289942,1.346231754738874,-0.44770237565890353
12.030075187969924,1.3680901278602888,1.0983478435829657,-0.4721866809820734
13.032581453634084,1.7085858721583635,0.5781732086497904,-0.458064681692935
14.035087719298245,1.8793567248116714,0.08958316416741002,-0.5403913516673814
15.037593984962406,1.988247087269205,-0.1829920401726505,-0.5778355368623264
16.040100250626566,2.0917698792310393,-0.3023310472919369,-0.6056316694354065
17.042606516290725,2.1909237134953266,-0.27694943122146654,-0.6297007576396544
18.045112781954884,2.2792114792990437,-0.22179885777617286,-0.6369505435358761
19.047619047619047,2.368891597095573,-0.1897139613237621,-0.6472314040085136
20.050125313283207,2.453093788959706,-0.1908888142297508,-0.6541710858233297
21.052631578947366,2.506864178614286,-0.21280303997626057,-0.6781035364591319
22.05513784461153,2.5586868370373907,-0.22801800143879675,-0.7210290708462797
23.05764411027569,2.5930906740632524,-0.24548400450814012,-0.7478317219367143
24.06015037593985,2.6244303592860407,-0.23100362582233028,-0.7459418849767581
25.062656641604008,2.6677747551917155,-0.2316595410947974,-0.7338975456148702
26.065162907268167,2.6777628500519417,-0.2448300407967674,-0.714196601265474
27.06766917293233,2.6697117972133424,-0.25706709635051855,-0.7169762488589246
28.07017543859649,2.668750750176404,-0.3039239817644174,-0.734776630432909
29.07268170426065,2.6570753695137848,-0.32283546557418,-0.733529586814114
30.075187969924812,2.6440447873821142,-0.30118035818739347,-0.719075413140779
31.07769423558897,2.6429391675617437,-0.30067896728048715,-0.7342174791035515
32.08020050125313,2.635803335209473,-0.27741109508397455,-0.7709752393877041
33.08270676691729,2.624304466139322,-0.23929580356189256,-0.7767153027795173
34.08521303258145,2.6220628677325624,-0.21640694391423476,-0.7591767722321253
35.08771929824561,2.606119917817021,-0.2277181827265728,-0.7370786518270025
36.09022556390977,2.613774258277805,-0.2221314240646999,-0.7645525737582076
37.092731829573935,2.5921014337889363,-0.1846408293884915,-0.7970445943183285
38.095238095238095,2.5916157462522715,-0.18432251277133185,-0.7831250103201531
39.097744360902254,2.5954032101678584,-0.17849682857421975,-0.7187771388381228
40.100250626566414,2.6113692939187882,-0.19414952692921522,-0.6701781381440667
41.10275689223057,2.6086784100196008,-0.1887203847242511,-0.7230093342807828
42.10526315789473,2.5587151384362103,-0.19319712536627967,-0.8338650217946392
43.10776942355889,2.5017077083488823,-0.1394083259280319,-0.9861690295840383
44.11027568922306,2.5204859215716393,-0.13126284328132864,-0.9760053952257974
45.11278195488722,2.569336453674655,-0.1267086134899597,-0.7933292849775543
46.11528822055138,2.6235824445602676,-0.1112704980649135,-0.5765844773496381
47.11779448621554,2.6564508881644047,-0.1269648944752125,-0.402549809169551
48.1203007518797,2.6606465668567068,-0.21774144598916867,-0.3244313963785933
49.122807017543856,2.645159180587319,-0.22160211674629543,-0.34419025566419964
50.125313283208015,2.6896105170319307,-0.1392525258108387,-0.23309000800448643
51.127819548872175,2.7010656451357136,-0.16523491758645242,-0.036038827489076365
52.130325814536334,2.6837068629757486,-0.19278733436588966,0.10193297910371217
53.1328320802005,2.657955595800034,-0.21536453935592853,0.07885466266680433
54.13533834586466,2.666892878189565,-0.22490768774100287,-0.04448453374789913
55.13784461152882,2.6658701154994904,-0.2528008050951518,-0.048588070747606724
56.14035087719298,2.6765572807251283,-0.3062038472392018,0.023615411370902957
57.14285714285714,2.681542649375011,-0.31453857099752797,0.09675832033821062
58.1453634085213,2.6518423320965003,-0.3113794883201707,0.10186877784904187
59.14786967418546,2.608177546434199,-0.3437218247826887,0.05715839856520567
60.150375939849624,2.4493895566135824,-0.21873650274814097,-0.5320444363799213
61.152882205513784,2.3500152808212134,0.12052642568215888,-0.48785040851994116
62.15538847117794,2.2265137781051876,0.32195073996308377,0.38348718471284104
63.1578947368421,2.0026519947325934,-0.0758324021418944,0.7865973977372115
64.16040100250626,1.989661338278033,-0.3351015362273427,0.264062792995799
65.16290726817043,1.6970135663011248,-0.6139237369102675,0.49989761815102884
66.16541353383458,1.4193750338815843,-0.8801835956116553,0.28775560094946523
67.16791979949875,1.0762836050004818,-1.0283349259110448,0.3181741335176282
68.1704260651629,0.7037213300284955,-1.174243661146016,0.39774618283815794
69.17293233082707,0.4219966511700886,-1.2868523932034124,0.4132737781566597
70.17543859649122,0.1416809729978385,-1.3389750011507888,0.3578323113046528
71.17794486215539,-0.1710334993720981,-1.2649961706489954,0.2418533583701342
72.18045112781954,-0.46419639611529767,-1.1010538925984779,0.3038094505283021
73.1829573934837,-0.704005174253183,-0.981634396761895,0.40220756417881515
74.18546365914787,-1.0197507072011238,-0.6953102115418375,0.42840178366278364
75.18796992481202,-1.2835467278197352,-0.2767947248427685,0.42919069575943253
