Time,b1,b2,b3,b4
0.0,0.46908408600841794,-0.5341179839706072,-0.46060825610405937,0.5425938138749656
1.0,0.4795211515393405,-0.5205615463783039,-0.44596485324328994,0.5541178446743545
2.01,0.4640196054364476,-0.5349932491092271,-0.45933097982766763,0.539681874718007
3.01,0.4551823937472459,,-0.47177594281307067,0.5342667312629089
4.01,,,,
5.01,0.4673056555198112,,,0.5373028352082329
6.02,0.46637214190428555,,,0.5409617643381331
7.02,0.45618377154791706,-0.5430900117777523,,0.5265865806903852
8.02,,,,
9.02,0.4391867478744376,,-0.49821324557965013,0.5122617634588276
10.03,0.46201321385740646,,-0.4845055330550371,0.5290913718431568
11.03,0.47267915612270034,,,
12.03,,-0.5269259246665328,-0.4544484562250052,
13.03,0.44501476850395266,,,
14.04,0.44007041823841997,,,
15.04,,,-0.502065085279285,
16.04,,,,
17.04,,-0.561150871035387,-0.4881110019753382,0.5251901078479402
18.05,0.460784678400225,-0.5399902476768478,,
19.05,,-0.52710109782845,-0.4531628934377276,
20.05,0.4555519789996261,,-0.45652904893724916,0.5351563933907756
21.05,,-0.5566586740177787,,
22.06,,,,
23.06,,,,
24.06,,,-0.47815837023110475,
25.06,0.48223603191380593,-0.5227650340598682,,0.5581751360428753
26.07,,-0.5057462578713113,-0.43424262292217036,
27.07,0.4732107898141383,,,
28.07,,,,
29.07,0.44983423860869026,-0.5546123797389655,-0.4895263077418642,
30.08,,,,
31.08,,,,
32.08,0.4891295740811778,-0.5256579434673381,,0.5628486095219729
33.08,,,,
34.09,,,,
35.09,0.47537844983111166,-0.5123597057928799,-0.4435736510051882,
36.09,,-0.5402720915554912,,
37.09,,,,
38.1,,,,0.5190295028577713
39.1,0.4628535710291309,,,0.5396748372464837
40.1,,,,
41.1,0.4798110268408087,-0.5154113948605398,-0.43655270862482115,
42.11,,,,
43.11,0.4511504414788201,,,
44.11,0.4423692565278107,-0.5676434064156443,-0.5033245630247344,
45.11,,-0.5694475424011847,-0.49746253640193555,0.5161511521528976
46.12,,-0.5476483567921707,,
47.12,,,,
48.12,0.472695003824851,-0.5189633748265334,-0.44286638100308917,
49.12,,,,
50.13,,,,
51.13,0.4511076608693797,,,
52.13,0.46448787599930813,,,0.5374825887540251
53.13,0.4748297240903357,-0.5342749920839064,,
54.14,0.47769595985762797,,,
55.14,,,,
56.14,,,,
57.14,,-0.5388994638890192,,0.524263062156684
58.15,,,-0.49255093904357783,
59.15,0.440693490943862,-0.5699884301271234,,
60.15,,-0.5642237011500032,,
61.15,0.4710294517092369,-0.538350313614767,-0.4684252368308182,
62.16,,,-0.43894565364294524,
63.16,,,,
64.16,0.4621858268562979,-0.5308640775307857,-0.47476214954170426,
65.16,,,,
66.17,0.4386112569466003,-0.5722733415919733,,
67.17,0.4575790076324329,,-0.4838845548518453,0.5274738815073056
68.17,,,,0.542258798040315
69.17,,-0.5231810119993244,,
70.18,,,-0.45858109187062707,0.5334771468918539
71.18,,-0.5424014117649353,,
72.18,,-0.5519236757461004,,
73.18,0.4490932627180888,,-0.4906291095809033,0.508272649382314
