Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,DVL2_1,DVL2_2,DVL2_3,DVL2_4,DVL3_1,DVL3_2,DVL3_3,DVL3_4,V North,V East,V Down
4.01,0.000213,-0.0046399999999999,-0.098134,-1.4000000000000012e-05,2.5999999999999985e-05,0.000201,0.43050036655612467,-0.5600065693665242,-0.43527112432604814,0.5552358115966007,0.45030596839248116,-0.5406231309977074,-0.41274427675281805,0.5781848226373705,0.4381071301184635,-0.5529155915599583,-0.4159313948749849,0.5750913268034369,0.4422683669952095,-0.5511359172783165,-0.42013383751105765,0.5732704467624684,-1.243052,1.636531,0.001213
5.01,0.0001,-0.0053249999999999,-0.097682,0.0001079999999999,-2.000000000000012e-06,0.000197,0.4238820013945127,-0.5666820859184766,-0.43634384544717647,0.554220241865813,0.43050036655612467,-0.5600065693665242,-0.43527112432604814,0.5552358115966007,0.45030596839248116,-0.5406231309977074,-0.41274427675281805,0.5781848226373705,0.4381071301184635,-0.5529155915599583,-0.4159313948749849,0.5750913268034369,-1.282372,1.600116,-0.010723
6.02,-0.0001159999999999,-0.0057909999999999,-0.097598,1.9999999999999868e-06,-1.6000000000000013e-05,0.000213,0.4380214316948556,-0.5549376171922936,-0.4312822513591843,0.5616767975279648,0.4238820013945127,-0.5666820859184766,-0.43634384544717647,0.554220241865813,0.43050036655612467,-0.5600065693665242,-0.43527112432604814,0.5552358115966007,0.45030596839248116,-0.5406231309977074,-0.41274427675281805,0.5781848226373705,-1.314607,1.571775,-0.018332
7.02,-0.0004189999999999,-0.0052859999999999,-0.097804,-2.700000000000001e-05,-8.000000000000011e-06,0.00019,0.4447790602240413,-0.5419078577309746,-0.41677870320142124,0.5699082147535948,0.4380214316948556,-0.5549376171922936,-0.4312822513591843,0.5616767975279648,0.4238820013945127,-0.5666820859184766,-0.43634384544717647,0.554220241865813,0.43050036655612467,-0.5600065693665242,-0.43527112432604814,0.5552358115966007,-1.344962,1.545172,-0.010098
8.02,-0.0004209999999999,-0.0045649999999999,-0.097678,-1.2000000000000012e-05,1.3999999999999988e-05,0.000182,0.4502687628535164,-0.5332191732326796,-0.4126056079205241,0.5708823281656721,0.4447790602240413,-0.5419078577309746,-0.41677870320142124,0.5699082147535948,0.4380214316948556,-0.5549376171922936,-0.4312822513591843,0.5616767975279648,0.4238820013945127,-0.5666820859184766,-0.43634384544717647,0.554220241865813,-1.374672,1.518887,0.005073
9.02,-9.999999999940074e-07,-0.0048169999999999,-0.097864,2.099999999999999e-05,3.699999999999999e-05,0.000183,0.44637542941050307,-0.5387780333259943,-0.4241371266644821,0.5610163360720154,0.4502687628535164,-0.5332191732326796,-0.4126056079205241,0.5708823281656721,0.4447790602240413,-0.5419078577309746,-0.41677870320142124,0.5699082147535948,0.4380214316948556,-0.5549376171922936,-0.4312822513591843,0.5616767975279648,-1.405185,1.484622,0.011575
10.03,0.0001,-0.0049109999999999,-0.098062,-9.00000000000001e-06,2.299999999999999e-05,0.000178,0.4396304901804823,-0.5448021406718351,-0.43085199531143387,0.5535806355408833,0.44637542941050307,-0.5387780333259943,-0.4241371266644821,0.5610163360720154,0.4502687628535164,-0.5332191732326796,-0.4126056079205241,0.5708823281656721,0.4447790602240413,-0.5419078577309746,-0.41677870320142124,0.5699082147535948,-1.434262,1.447912,0.00634
11.03,3.800000000000599e-05,-0.0051409999999999,-0.097827,-1.200000000000001e-05,1.9999999999999893e-06,0.000171,0.4284385265577601,-0.5493377395600711,-0.43495613923557075,0.5428201268822604,0.4396304901804823,-0.5448021406718351,-0.43085199531143387,0.5535806355408833,0.44637542941050307,-0.5387780333259943,-0.4241371266644821,0.5610163360720154,0.4502687628535164,-0.5332191732326796,-0.4126056079205241,0.5708823281656721,-1.45932,1.415277,-0.002673
12.03,-0.0002789999999999,-0.0053309999999999,-0.097776,-7.200000000000002e-05,-1.600000000000001e-05,0.000189,0.4360313804374846,-0.5434666899858771,-0.43295766639230465,0.546540404031057,0.4284385265577601,-0.5493377395600711,-0.43495613923557075,0.5428201268822604,0.4396304901804823,-0.5448021406718351,-0.43085199531143387,0.5535806355408833,0.44637542941050307,-0.5387780333259943,-0.4241371266644821,0.5610163360720154,-1.483737,1.386386,-0.002257
13.03,-0.0006509999999999,-0.0045439999999999,-0.09784,-2.800000000000001e-05,4.99999999999999e-06,0.000171,0.4344067567845038,-0.5463943887638094,-0.4429046724220795,0.5378964731262338,0.4360313804374846,-0.5434666899858771,-0.43295766639230465,0.546540404031057,0.4284385265577601,-0.5493377395600711,-0.43495613923557075,0.5428201268822604,0.4396304901804823,-0.5448021406718351,-0.43085199531143387,0.5535806355408833,-1.512723,1.356116,-0.000192
