Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Layers,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
4,2,2,0.0011,0.0,5,80,75,3,51.34,0.7324132318426502
4,2,2,0.0012100000000000001,0.0,6,100,80,4,60.21,0.7072402344059431
4,2,2,0.0013310000000000002,0.0,7,120,85,5,70.18,0.7072402344059431
4,1,4,0.001,0.0,4,60,70,2,44.12,0.79395413869521
4,1,4,0.0011,0.0,5,80,75,3,52.08,0.7756733136323087
4,1,4,0.0012100000000000001,0.0,6,100,80,4,60.04,0.705839316819711
4,1,4,0.0013310000000000002,0.0,7,120,85,5,69.79,0.7022834106617305
2,1,5,0.001,0.0,4,60,70,2,42.64,0.4569012601193585
2,1,5,0.0011,0.0,5,80,75,3,50.31,0.4367576287368575
2,1,5,0.0012100000000000001,0.0,6,100,80,4,59.5,0.3998262393894621
2,1,5,0.0013310000000000002,0.0,7,120,85,5,69.32,0.38516256038374513
2,1,3,0.001,0.0,4,60,70,2,42.93,0.4535847411393021
2,1,3,0.0011,0.0,5,80,75,3,50.51,0.4535847411393021
2,1,3,0.0012100000000000001,0.0,6,100,80,4,60.34,0.4005940118438733
2,1,3,0.0013310000000000002,0.0,7,120,85,5,69.75,0.36638989130244237
2,2,2,0.001,0.0,4,60,70,2,43.1,0.4676601959491965
2,2,2,0.0011,0.0,5,80,75,3,51.3,0.4119751455501555
2,2,2,0.0012100000000000001,0.0,6,100,80,4,60.12,0.4119751455501555
2,2,2,0.0013310000000000002,0.0,7,120,85,5,69.99,0.3742816041079394
2,1,4,0.001,0.0,4,60,70,2,42.76,0.484842561553051
2,1,4,0.0011,0.0,5,80,75,3,50.95,0.4398895355816064
2,1,4,0.0012100000000000001,0.0,6,100,80,4,59.61,0.42218931890145006
2,1,4,0.0013310000000000002,0.0,7,120,85,5,69.43,0.3794334116196564
7,1,5,0.001,0.0,4,60,70,2,42.71,0.13299830731809462
7,1,5,0.0011,0.0,5,80,75,3,50.57,0.11075850738642061
7,1,5,0.0012100000000000001,0.0,6,100,80,4,59.47,0.11075850738642061
7,1,5,0.0013310000000000002,0.0,7,120,85,5,69.3,0.11075850738642061
7,1,3,0.001,0.0,4,60,70,2,43.0,0.14052159614683504
7,1,3,0.0011,0.0,5,80,75,3,51.19,0.11640519010443695
7,1,3,0.0012100000000000001,0.0,6,100,80,4,60.23,0.11509548510639214
7,1,3,0.0013310000000000002,0.0,7,120,85,5,69.9,0.11509548510639214
7,2,2,0.001,0.0,4,60,70,2,43.1,0.13700775854458128
7,2,2,0.0011,0.0,5,80,75,3,50.76,0.11731590124809844
7,2,2,0.0012100000000000001,0.0,6,100,80,4,60.36,0.11433743969476537
7,2,2,0.0013310000000000002,0.0,7,120,85,5,69.72,0.11204148651515151
7,1,4,0.001,0.0,4,60,70,2,42.7,0.13548142248356063
7,1,4,0.0011,0.0,5,80,75,3,50.74,0.11349775128374216
7,1,4,0.0012100000000000001,0.0,6,100,80,4,59.82,0.11349775128374216
7,1,4,0.0013310000000000002,0.0,7,120,85,5,69.62,0.11244268128689879
11,1,5,0.001,0.0,4,60,70,2,42.83,0.27661899258485273
11,1,5,0.0011,0.0,5,80,75,3,50.56,0.2617236868888307
11,1,5,0.0012100000000000001,0.0,6,100,80,4,59.56,0.2617236868888307
11,1,5,0.0013310000000000002,0.0,7,120,85,5,69.38,0.2617236868888307
11,1,3,0.001,0.0,4,60,70,2,42.92,0.25974587971574375
11,1,3,0.0011,0.0,5,80,75,3,50.91,0.2545770682013254
11,1,3,0.0012100000000000001,0.0,6,100,80,4,60.4,0.24650102571578833
11,1,3,0.0013310000000000002,0.0,7,120,85,5,70.11,0.24650102571578833
11,2,2,0.001,0.0,4,60,70,2,43.61,0.28771927465971964
11,2,2,0.0011,0.0,5,80,75,3,53.04,0.27085245251382756
11,2,2,0.0012100000000000001,0.0,6,100,80,4,60.27,0.27085245251382756
11,2,2,0.0013310000000000002,0.0,7,120,85,5,70.61,0.27085245251382756
11,1,4,0.001,0.0,4,60,70,2,43.08,0.27665538627295444
11,1,4,0.0011,0.0,5,80,75,3,51.0,0.2736989401030298
11,1,4,0.0012100000000000001,0.0,6,100,80,4,59.95,0.2736989401030298
11,1,4,0.0013310000000000002,0.0,7,120,85,5,69.85,0.2736989401030298
5,1,5,0.001,0.0,4,60,70,2,42.74,0.7056407986244222
5,1,5,0.0011,0.0,5,80,75,3,50.88,0.7056407986244222
5,1,5,0.0012100000000000001,0.0,6,100,80,4,59.56,0.637231598589173
5,1,5,0.0013310000000000002,0.0,7,120,85,5,69.65,0.637231598589173
5,1,3,0.001,0.0,4,60,70,2,43.2,0.6223260356428102
5,1,3,0.0011,0.0,5,80,75,3,51.16,0.6223260356428102
5,1,3,0.0012100000000000001,0.0,6,100,80,4,60.23,0.6223260356428102
5,1,3,0.0013310000000000002,0.0,7,120,85,5,69.63,0.6216434460747134
5,2,2,0.001,0.0,4,60,70,2,43.19,0.7041572688998817
5,2,2,0.0011,0.0,5,80,75,3,51.0,0.7041572688998817
5,2,2,0.0012100000000000001,0.0,6,100,80,4,60.16,0.6998245590255486
5,2,2,0.0013310000000000002,0.0,7,120,85,5,70.17,0.5504335999743372
5,1,4,0.001,0.0,4,60,70,2,42.72,0.7639857967577024
5,1,4,0.0011,0.0,5,80,75,3,50.9,0.7639857967577024
5,1,4,0.0012100000000000001,0.0,6,100,80,4,59.8,0.6992572128144751
5,1,4,0.0013310000000000002,0.0,7,120,85,5,69.45,0.651526435409584
8,1,5,0.001,0.0,4,60,70,2,42.63,1.0309414534605914
8,1,5,0.0011,0.0,5,80,75,3,50.66,1.0281081720839216
8,1,5,0.0012100000000000001,0.0,6,100,80,4,59.83,0.9642238611573306
8,1,5,0.0013310000000000002,0.0,7,120,85,5,69.35,0.8617742590138209
8,1,3,0.001,0.0,4,60,70,2,43.0,0.9736513637629013
8,1,3,0.0011,0.0,5,80,75,3,51.01,0.9736513637629013
8,1,3,0.0012100000000000001,0.0,6,100,80,4,60.15,0.954682769023669
8,1,3,0.0013310000000000002,0.0,7,120,85,5,70.07,0.9464120259569446
8,2,2,0.001,0.0,4,60,70,2,43.07,0.9608129277522363
8,2,2,0.0011,0.0,5,80,75,3,51.33,0.9608129277522363
8,2,2,0.0012100000000000001,0.0,6,100,80,4,60.56,0.9608129277522363
8,2,2,0.0013310000000000002,0.0,7,120,85,5,70.93,0.8722502662230737
8,1,4,0.001,0.0,4,60,70,2,42.97,0.9957556150538541
8,1,4,0.0011,0.0,5,80,75,3,51.07,0.9957556150538541
8,1,4,0.0012100000000000001,0.0,6,100,80,4,60.09,0.9485139108491573
8,1,4,0.0013310000000000002,0.0,7,120,85,5,70.1,0.9365423506246963
1,1,3,0.001,0.0,4,60,70,2,43.32,0.7406593575383098
1,1,3,0.0011,0.0,5,80,75,3,51.27,0.6954476778120727
1,1,3,0.0012100000000000001,0.0,6,100,80,4,60.28,0.6061840644079304
1,1,3,0.0013310000000000002,0.0,7,120,85,5,69.97,0.6054061752521853
10,1,5,0.001,0.0,4,60,70,2,42.67,0.5013394390227366
10,1,5,0.0011,0.0,5,80,75,3,50.93,0.4645777120635171
10,1,5,0.0012100000000000001,0.0,6,100,80,4,59.56,0.45539858002205513
10,1,5,0.0013310000000000002,0.0,7,120,85,5,70.08,0.4212546992657079
10,1,3,0.001,0.0,4,60,70,2,43.92,0.45715011272836875
10,1,3,0.0011,0.0,5,80,75,3,51.12,0.45715011272836875
