Beam,RMSE_vs_Original,RMSE_vs_MovingAvg
b1,0.03698474937551038,0.03698474937551038
b2,0.9944759995354386,0.9944759995354386
b3,0.03191744218822506,0.03191744218822506
b4,0.033635583707313,0.033635583707313
