Time,b1,b2,b3,b4
0.0,0.36457940296611,-0.3625179662507283,-0.3309054699627938,0.39619189925404447
1.0,0.35508113378999206,-0.3756179349337134,-0.3349332779613744,0.39576579076233104
2.01,0.33814960775321357,-0.3931864246153724,-0.354610838505873,0.37672519386271297
3.01,0.3227714638921879,-0.4028335453833769,-0.37189958447274896,
4.01,,,,
5.01,,,,
6.02,0.37393286189114966,,,
7.02,,,-0.3204906624421568,0.4041065301177431
8.02,,,-0.3535699509321061,0.3740624356784052
9.02,0.3117166119031009,,,
10.03,,,,
11.03,,,,0.3896127574848377
12.03,,-0.36419002264466344,-0.31714799202178384,
13.03,,-0.3761463712453162,-0.31891817001690737,0.40602603157256845
14.04,0.339673144801562,,,
15.04,0.3316814580751358,-0.39598621758355856,,
16.04,0.330378668323901,,-0.3429361740810648,0.38615764845789774
17.04,,,,
18.05,,,-0.3431723295871473,0.3841633972517951
19.05,,-0.39062620199554304,-0.3404219439677297,0.38581032630162515
20.05,0.34290683733623056,,-0.33041099659035444,0.39764533056954915
21.05,0.34445772455478296,,,
22.06,,,-0.3176359918914559,
23.06,,-0.40793659933228765,-0.3325127259439646,
24.06,0.30332053191804836,-0.4220767842816037,,0.3749208382820764
25.06,,,,
26.07,0.3199617996398765,,-0.34982255916146693,0.3771693120201185
27.07,0.33517189894115673,-0.39264696465116034,,
28.07,0.3443506929144458,-0.3801010012028725,,
29.07,0.3374282849936834,,-0.29979700065240794,0.4241156824488487
30.08,0.3083585284180052,,-0.3246606853016852,0.39960159067615403
31.08,,-0.43710861932917544,,0.3725956423127349
32.08,,,,
33.08,,,-0.3345702278158155,
34.09,0.3386979040966107,-0.38723523499712864,,
35.09,0.336423468047802,,-0.29103649616526317,0.42980742013192336
36.09,0.3207669756457312,,-0.30038434722073803,0.41838367677872057
37.09,0.3040143850788067,-0.4210160922050404,,
38.1,,-0.4267443463698571,-0.3361923959191587,0.38733932905960444
39.1,,,,
40.1,,,,
41.1,,-0.7657264017467114,,0.30175749032961047
42.11,,,,
43.11,,,,
44.11,,,-0.4100326456125625,
45.11,,,-0.46558158764786095,
46.12,,,,0.48897038467172566
47.12,,,,
48.12,0.5201139144486804,,-0.3814542743678787,0.6812435262150954
49.12,,-0.5107734355971529,-0.3531941925292801,
50.13,,-0.5128688782000814,-0.3608520215622757,
51.13,,,,0.7688143999049678
52.13,,,-0.4208082678357054,
53.13,0.5916507936488329,,-0.4609246192136953,0.7425940264741253
54.14,0.5757846830092206,,-0.49742193914396093,0.7330591183403563
55.14,0.5679533590457542,,,0.7221646003721385
56.14,,-0.7027941727406258,,0.7095657083200241
57.14,0.5560393259888728,-0.7160351431225176,-0.557204486160509,
58.15,,,,0.7135083069518344
59.15,,,,
60.15,,-0.7661138508792479,-0.6004842069464363,
61.15,,,,0.7080297460753074
62.16,0.5487779297007456,,-0.602448851270971,
63.16,,,,0.7154626098282031
64.16,,-0.7566639033534751,-0.5928489166424343,
65.16,0.5588940930428304,-0.7488626433056325,,0.7240963638236434
66.17,0.5679677329872349,-0.7374674857726045,-0.5792545860223579,
67.17,0.5665457171596856,,-0.577838262335104,0.7282343742872607
68.17,,,-0.5859571125101666,0.7175431017195447
69.17,,-0.7579319074175612,-0.5905875364103719,0.7083222615129731
70.18,0.5459001151033505,-0.7575965696419561,,
71.18,0.5452385706385166,,,
72.18,0.5557595581051825,,-0.5901062977151776,
73.18,,,,
74.19,,,,
75.19,,-0.7376237371056401,-0.2488444869481345,
76.19,0.2447363870764833,-0.7376935656952224,,
77.19,0.24909615839321583,-0.6757230943565405,,0.7279479249686972
78.2,0.19480220990793007,,-0.23409980130972063,0.6451876514172136
79.2,,-0.6289905467180296,,
80.2,0.22893526480385662,-0.5940047120017105,-0.21179930731785213,
81.2,,,,0.5977224514492727
82.21,,-0.5197169893677998,,0.5811520877371879
83.21,0.30840115027225945,-0.5051851618487831,,
84.21,,-0.5114735635114542,,0.5187600164517843
85.21,,,-0.3435193780645122,0.5057238484845685
86.22,,,,0.49354565458541755
87.22,0.39333300274309724,,-0.40246153523643113,
88.22,0.42780278029495317,,,
89.22,0.4487924262503243,,-0.4683625749412989,
90.23,,,,
91.23,0.4787501731913757,,-0.5278239061295675,0.461330104328959
92.23,,,-0.5401810896014271,
93.23,0.5212153525331835,,,0.4709257687142293
94.24,0.5449393976273184,,-0.5428818825951017,
95.24,0.5582632116627045,,-0.5428956003724771,0.4996722331904024
96.24,,,,
97.24,,,-0.556444903036342,
98.25,,,,
99.25,0.5439956944918866,,,
100.25,0.5560091731759482,,,0.5509998315338023
101.25,,,,0.5589871037929355
102.26,,,,
103.26,,-0.5698510158477514,,
104.26,,,,
105.26,,,,0.5601646001493005
106.27,0.5379402034026424,-0.570609873852827,,0.5659048768169288
107.27,,,,
108.27,,-0.5595625664007084,-0.5410177001633668,0.566381496913935
109.27,,-0.5627638726517646,,
110.28,,,-0.5648594322840201,0.5493580093329561
111.28,,-0.5714265986350603,-0.5690824368017053,0.5492735870157124
112.28,,-0.5588090890467182,,0.5654420320159171
113.28,0.5709584671734212,,-0.5451248542126894,0.573644470775156
114.29,,,,
115.29,,,,
116.29,,,,0.5702925050916589
117.29,,,,
118.3,0.5566593779270655,-0.5642338548160404,-0.5538865211188188,
119.3,,,-0.5603204799558419,
120.3,0.5409468509496914,-0.5802840798585466,,
121.3,,,,
122.31,,,,
123.31,0.5762796221631185,-0.5475615760512116,,0.5963711532357835
124.31,,,-0.540934762702478,0.5831109507540203
125.31,,,-0.570423407449725,
126.32,0.6420612335707829,,,
127.32,0.5920088684078998,,-0.62252152625723,
128.32,0.5541877220633207,-0.27953156822787095,-0.5571051403427071,
129.32,,,,
130.33,,-0.3017161658906665,-0.4829708917355038,
131.33,,,,
132.33,,,,
133.33,,,-0.5161062746709224,0.39291815581547973
134.34,,,,
135.34,,-0.46675723050177115,,
136.34,,,,0.5321283432735361
137.34,0.5324122159862269,-0.5632984113957353,-0.5215597993290831,
138.35,,-0.6207165024328641,,0.6176709930339452
139.35,0.49291867089685487,,,
140.35,,,,
141.35,,,,0.7476916521804765
142.36,,,,
143.36,,,,
144.36,,-0.7571836440910475,,
145.36,,,,
146.37,0.3882409281210777,-0.7234763630988053,,
147.37,,,,
148.37,0.4403760348024109,,-0.4103706050914509,0.7040683381097856
149.37,,,,
150.38,,-0.6654622506162896,-0.47185124467588924,0.6605793616224127
151.38,,,,0.6379753943218057
152.38,0.48044205158106673,,-0.5531472545355688,0.6190842526639968
153.38,,,,
154.39,,,-0.40621639844716745,0.761198787086784
155.39,,,,
156.39,,-0.6285308492064313,-0.03333004673682065,0.7595705313325879
157.39,0.14459987269009328,,,0.6414051955052887
158.4,,-0.4732651519969551,,
159.4,0.1472865358381393,,-0.11534009217273608,0.47868117543582284
160.4,0.1745012358019119,,-0.158178252884431,0.4501802964780578
161.4,0.20703244480623,,-0.19108996724396837,
162.41,,,-0.204217062303164,0.4579590107544004
163.41,,,-0.25983231204660057,
164.41,0.3606026697191642,,,
165.41,,,-0.4037376188936025,0.38589277575320874
166.42,,,-0.45599543436351136,
167.42,,-0.41232764973364694,-0.49119857851060234,
168.42,,-0.4078531888414474,,
169.42,0.5344400032477228,,-0.5597801960662468,0.3713396106903765
170.43,,,-0.5768346973204003,
171.43,,,,
172.43,,,,
173.43,,-0.41376360950747443,,0.36666298277690346
174.44,,,,
175.44,,-0.4260589441487538,,
176.44,,,,
177.44,0.5617065740548036,,,
178.45,0.561206418266162,,-0.5359992517064701,
179.45,,-0.49070046513553967,-0.5352304138917544,0.5004238639355406
180.45,0.5278706138670852,-0.5251440745550494,,
181.45,,,-0.5449503481957962,
182.46,,-0.564619320617671,-0.5421786351465648,0.5316237105344143
183.46,,,,
184.46,0.5328197066407291,,-0.5064492128657591,0.5785303752711012
185.46,,-0.5616205170261643,-0.5243672437429431,0.5667766967854512
186.47,,-0.5603301045443957,,0.5540114257527238
187.47,0.3364737374300429,,,0.5990217720047675
188.47,0.2600471281691879,-0.6299425465051468,-0.21122949739075075,
189.47,0.2136005813590518,-0.6054836706089949,-0.29246734872780866,
190.48,,,,
191.48,,-0.4753270117477094,,
192.48,0.3266078710686286,,,0.4775059695575807
193.48,0.3456921865179754,,,0.4686573630943435
194.49,,,,
195.49,,,,0.4799653857976278
196.49,,-0.4682155720780404,,
197.49,,,-0.4521808594150766,
198.5,0.5305763799697686,,-0.5088130300428526,0.4917041483581284
199.5,,-0.46945572714427475,,0.48476522341577877
200.5,,,-0.598728274518652,0.48647785658801695
201.5,,,,0.4606537874172116
202.51,0.7011470116175035,-0.43566403576515866,-0.7046596415280921,
203.51,,,,
204.51,,,,
205.51,0.729097465023659,-0.3859025788137738,-0.7535108874695066,
206.52,0.7513720869074489,-0.3587714312495255,,0.38242012631229705
207.52,,-0.35755321060364054,-0.7221862865230777,
208.52,,,-0.7174882280725653,0.3758295828337249
209.52,,-0.40221798177862605,,
210.53,,,-0.7030092152724597,
211.53,0.6676235700694672,-0.44797481223469293,,0.43521356327561156
212.53,0.6752310004122671,,,0.4743950222219589
213.53,,,,0.5042165498918858
214.54,,-0.5006382289342663,-0.6571784523377155,0.5121258446237635
215.54,0.6462759480259356,,,0.5150596548174035
216.54,0.7712001908918792,-0.3674937866605611,,0.39071363850912333
217.54,0.7506249790302926,-0.1996502921667246,,
218.55,,-0.061230679560490615,-0.6190374505641449,0.18326574665736473
219.55,0.5669541422837325,,,
220.55,,,-0.5138653240788085,
221.55,,-0.17074101254459226,,
222.56,,,,
