Time [s],Longitude [rad],Latitude [rad],Altitude [m],V North [m/s],V East [m/s],V Down [m/s],Roll [rad],Pitch [rad],Yaw [rad]
2.0050125313283207,0.6096586070885771,0.5734274295456305,-11.279463,-0.0719420000000002,-0.02722999999999992,0.0189119999999999,-0.007993607974134,-0.0075921822461753,-0.3495196534576774
3.007518796992481,0.609658488231655,0.5734277557476678,-11.327631,-0.028195,-0.05498499999999999,-0.0273099999999999,-0.0085172067497323,0.0001221730476397,-0.3055897510915646
4.010025062656641,0.6096583824647024,0.5734280775863819,-11.355957,-0.0201059999999997,-0.0228420000000001,-0.034412,-0.0167028009415857,0.0093375114981697,-0.2707007415172458
5.012531328320802,0.6096582869951922,0.5734283994250959,-11.336946,0.003029999999999899,0.014686000000000005,-0.012447,-0.0001919862177193,0.0164410015537865,-0.242373751051405
6.015037593984962,0.6096582028703224,0.5734287209147442,-11.278131,0.009096000000000002,0.012864000000000098,0.0229010000000001,0.0082728606544531,0.0218864288200089,-0.2212729996474734
7.017543859649122,0.6096581344534157,0.5734290458950508,-11.208636,-0.008427000000000202,-0.015521000000000007,0.0303809999999998,-3.490658503988601e-05,0.0257610597594364,-0.2089505562493736
8.020050125313283,0.6096580805227417,0.5734293724461539,-11.163726,-0.0096349999999998,-0.038061,0.0351810000000001,0.0008203047484373,0.0255516202491969,-0.2038197071275303
9.022556390977442,0.609658026243002,0.5734296995208558,-11.156609,0.0038540000000000002,-0.058149,-0.018728,-0.0044331363000655,0.0235619449019235,-0.2031741621970957
10.025062656641603,0.6096579639347477,0.5734300267700906,-11.13455,0.0033880000000001,0.005545999999999999,-0.071947,-0.0103498024643263,0.0256912465893566,-0.2003293627828076
11.027568922305765,0.6096578995320984,0.5734303550665228,-11.04705,-0.004101000000000301,0.07,-0.004421000000000001,-0.0026354471705114,0.0281172542496286,-0.1936970243587661
12.030075187969924,0.6096578431579636,0.5734306828393564,-10.944301,-0.0011549999999998,0.0109589999999999,0.0824719999999999,0.0032288591161895,0.0258832328070759,-0.1916895466531223
13.032581453634084,0.6096577958595407,0.5734310088668606,-10.893356,-0.0014019999999996002,-0.0604519999999998,0.0317810000000001,-0.0075398223686155,0.0217118958948094,-0.1972747224325515
14.035087719298245,0.6096577480375193,0.5734313369887599,-10.884426,-0.0015550000000006002,-0.0421060000000001,-0.0439100000000001,-0.0089709923552508,0.0185528499486997,-0.2036103897903391
15.037593984962406,0.6096576918379174,0.573431665983324,-10.858847,-0.0032239999999995003,0.0213590000000001,-0.0540919999999999,-0.0054977871437821,0.017819811662862,-0.2061409252195132
16.040100250626566,0.609657629704196,0.573431992534427,-10.790814,0.0025019999999994005,0.0542959999999998,0.005482000000000098,0.0032288591161895,0.0168249739892254,-0.204482827523533
17.042606516290725,0.6096575740281929,0.5734323203072605,-10.714806,0.0082900000000004,0.010376000000000104,0.056119999999999795,-0.0008203047484373,0.0136135681655558,-0.2073974052013156
18.045112781954884,0.6096575256825725,0.5734326479055611,-10.683571,0.0044979999999999005,-0.053938999999999904,0.034287000000000095,-0.0078190750489345,0.0101927228316469,-0.2164207225275414
19.047619047619047,0.6096574741953596,0.5734329781218557,-10.697202,-0.012878000000000101,-0.047722,-0.03523,-0.0130027029273577,0.0091106186954104,-0.2252517569300754
20.050125313283207,0.6096574090945786,0.5734333060692222,-10.700891,-0.0145899999999996,0.0223519999999999,-0.057928,-0.0101229096615671,0.0099832833214075,-0.2264565751660196
21.052631578947366,0.6096573377106121,0.5734336312240618,-10.655172,0.006557999999999601,0.07007,-0.009726999999999902,0.0020943951023931,0.0096167641784887,-0.222599257892772
22.05513784461153,0.6096572738315614,0.5734339544590392,-10.589313,0.0150160000000001,0.022902,0.0581379999999998,0.0071383966406568,0.0060388392119004,-0.222232808563023
23.05764411027569,0.6096572207735522,0.5734342789157472,-10.568998,0.0076339999999998995,-0.056742999999999995,0.0551280000000001,-0.00614355896702,0.0019722220547535,-0.22869043952894
24.06015037593985,0.6096571649230161,0.573434608084844,-10.608521,-0.0053730000000001,-0.07016199999999989,-0.033347,-0.0116587994033221,0.0013788101090754,-0.2371901755328587
25.062656641604008,0.6096570958079778,0.5734349344614141,-10.6355,-0.050502999999999396,0.040426999999999894,-0.085402,-0.0183434104384603,0.0056199601914217,-0.1950403344708562
26.065162907268167,0.6096570347214539,0.5734352610125172,-10.597057,0.1097209999999994,0.205466,-0.006191999999999996,0.0378736447682769,0.0099832833214075,-0.1080013057259672
27.06766917293233,0.609656985677702,0.5734355873890874,-10.535094,-0.06780199999999979,-0.02927300000000002,0.0752189999999999,-0.0007330382858376,0.0071209433481369,-0.0632506099192265
28.07017543859649,0.6096569722386668,0.5734359203979086,-10.517377,0.0055240000000002,-0.09892699999999999,0.0363950000000001,-0.0032463124087094,0.0053930673886626,-0.0501606405292689
29.07268170426065,0.6096569743330618,0.5734362535812628,-10.539702,0.0003769999999997998,-0.065697,-0.038267,0.0,0.0053581608036226,-0.0556238527005697
30.07518796992481,0.6096569699697387,0.5734365874627487,-10.553276,-0.0112010000000001,0.004157000000000001,-0.045773,-0.002740166925631,0.0050963614158234,-0.070615847002766
31.07769423558897,0.6096569605449607,0.5734369192498395,-10.526041,-0.008690999999999801,0.020319999999999998,-0.006317,-0.0037350045992678,0.0020245819323134,-0.0943179767502091
32.08020050125313,0.6096569498984524,0.5734372477208048,-10.487463,0.0119699999999998,-0.011197,0.056857,0.0016929693744344,-0.0042062434973062,-0.1252271643910829
