Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,DVL2_1,DVL2_2,DVL2_3,DVL2_4,DVL3_1,DVL3_2,DVL3_3,DVL3_4,V North,V East,V Down
4.01,0.000596,0.002169,-0.09831,-0.000135,9.099999999999998e-05,0.000347,0.5181332526683853,-0.5032142735806636,-0.4849385367544989,0.5364089894945502,0.5507619155265794,-0.47070462859636475,-0.44822787290078314,0.573238671222161,0.558412841707198,-0.4703214071190604,-0.45599392194923855,0.5727403268770198,0.5150826374062865,-0.5078696343241119,-0.47418972329971065,0.5487625484306876,2.032117,-0.56724,0.00566
5.01,0.001301,0.001951,-0.098502,0.0001989999999999,6.699999999999999e-05,0.000287,0.4969418652943018,-0.518080501708359,-0.5253142263262323,0.4897081406764286,0.5181332526683853,-0.5032142735806636,-0.4849385367544989,0.5364089894945502,0.5507619155265794,-0.47070462859636475,-0.44822787290078314,0.573238671222161,0.558412841707198,-0.4703214071190604,-0.45599392194923855,0.5727403268770198,2.040295,-0.497815,-0.043191
6.02,0.002092,0.00031,-0.098055,4.099999999999999e-05,5.299999999999999e-05,0.000211,0.5075530041748452,-0.5096140580309965,-0.5417602680214484,0.4754067941843934,0.4969418652943018,-0.518080501708359,-0.5253142263262323,0.4897081406764286,0.5181332526683853,-0.5032142735806636,-0.4849385367544989,0.5364089894945502,0.5507619155265794,-0.47070462859636475,-0.44822787290078314,0.573238671222161,2.057569,-0.415526,-0.069141
7.02,0.00236,0.000516,-0.097994,-0.000116,4.1e-05,0.0001209999999999,0.5380788829367058,-0.47499501099924457,-0.5298789909642125,0.4831949029717377,0.5075530041748452,-0.5096140580309965,-0.5417602680214484,0.4754067941843934,0.4969418652943018,-0.518080501708359,-0.5253142263262323,0.4897081406764286,0.5181332526683853,-0.5032142735806636,-0.4849385367544989,0.5364089894945502,2.066416,-0.348758,-0.06471
8.02,0.002675,0.000865,-0.09744,-5.000000000000004e-06,-8.000000000000003e-06,5e-05,0.5669959269791532,-0.44612895358002735,-0.5010165530272972,0.5121083275318834,0.5380788829367058,-0.47499501099924457,-0.5298789909642125,0.4831949029717377,0.5075530041748452,-0.5096140580309965,-0.5417602680214484,0.4754067941843934,0.4969418652943018,-0.518080501708359,-0.5253142263262323,0.4897081406764286,2.065628,-0.320051,-0.025098
9.02,0.00253,-0.0005419999999999,-0.097692,-7.6e-05,-1.6e-05,1.9999999999999944e-06,0.5561737150231816,-0.4614051633326507,-0.49601560179569304,0.5215632765601393,0.5669959269791532,-0.44612895358002735,-0.5010165530272972,0.5121083275318834,0.5380788829367058,-0.47499501099924457,-0.5298789909642125,0.4831949029717377,0.5075530041748452,-0.5096140580309965,-0.5417602680214484,0.4754067941843934,2.068694,-0.349493,-0.004214
10.03,0.002465,0.000486,-0.098417,-4.2e-05,2.3e-05,3e-05,0.488999044496226,-0.525723570426325,-0.5539828832693084,0.4607397316532426,0.5561737150231816,-0.4614051633326507,-0.49601560179569304,0.5215632765601393,0.5669959269791532,-0.44612895358002735,-0.5010165530272972,0.5121083275318834,0.5380788829367058,-0.47499501099924457,-0.5298789909642125,0.4831949029717377,2.075148,-0.373389,-0.055277
11.03,0.002764,0.001592,-0.098434,8.5e-05,2.2e-05,6.9e-05,0.48958196000826115,-0.52824396143571,-0.5873847636999842,0.430441157743987,0.488999044496226,-0.525723570426325,-0.5539828832693084,0.4607397316532426,0.5561737150231816,-0.4614051633326507,-0.49601560179569304,0.5215632765601393,0.5669959269791532,-0.44612895358002735,-0.5010165530272972,0.5121083275318834,2.077501,-0.327285,-0.110761
12.03,0.002684,0.000558,-0.097586,4.2e-05,-2.1e-05,1.7000000000000003e-05,0.5415497210769171,-0.4749779209983024,-0.5603962956750487,0.45613134640017095,0.48958196000826115,-0.52824396143571,-0.5873847636999842,0.430441157743987,0.488999044496226,-0.525723570426325,-0.5539828832693084,0.4607397316532426,0.5561737150231816,-0.4614051633326507,-0.49601560179569304,0.5215632765601393,2.078699,-0.270222,-0.083773
13.03,0.002471,0.00022,-0.097345,-0.000123,-4.5e-05,-5.9e-05,0.5708977950052803,-0.44268166168423245,-0.5165014086874706,0.497078048002042,0.5415497210769171,-0.4749779209983024,-0.5603962956750487,0.45613134640017095,0.48958196000826115,-0.52824396143571,-0.5873847636999842,0.430441157743987,0.488999044496226,-0.525723570426325,-0.5539828832693084,0.4607397316532426,2.078495,-0.273611,-0.025004
