Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,DVL2_1,DVL2_2,DVL2_3,DVL2_4,V North,V East,V Down
3.01,0.000866,0.000401,-0.097844,3.999999999999999e-05,-1.4000000000000012e-05,0.000186,0.45063745755518003,-0.5438461997444319,-0.47477571294351734,0.5197079443560947,0.4557989376502256,-0.5328806106985273,-0.4528768696189171,0.5358026787298357,0.4421435217978352,-0.5437308003019558,-0.4622897793073157,0.5235845427924753,-2.066299,0.109172,-0.01129
4.01,0.000945,-0.0002319999999999,-0.0984,0.0001199999999999,4.99999999999999e-06,0.000169,0.4109687380244633,-0.5791025606910594,-0.5197890053391574,0.4702822933763653,0.45063745755518003,-0.5438461997444319,-0.47477571294351734,0.5197079443560947,0.4557989376502256,-0.5328806106985273,-0.4528768696189171,0.5358026787298357,-2.071294,0.058205,-0.043328
5.01,0.000335,-0.0010789999999999,-0.098073,-0.000101,-3.300000000000001e-05,0.000121,0.398570930017728,-0.5875286444118882,-0.5092394027740922,0.476860171655524,0.4109687380244633,-0.5791025606910594,-0.5197890053391574,0.4702822933763653,0.45063745755518003,-0.5438461997444319,-0.47477571294351734,0.5197079443560947,-2.07034,0.045259,-0.061097
6.02,0.000114,9.400000000000598e-05,-0.097887,-7.8e-05,-3.5000000000000004e-05,0.000109,0.42920730129765045,-0.5503864253682601,-0.4646642850465156,0.514929441619395,0.398570930017728,-0.5875286444118882,-0.5092394027740922,0.476860171655524,0.4109687380244633,-0.5791025606910594,-0.5197890053391574,0.4702822933763653,-2.059202,0.054222,-0.035689
7.02,-0.0003039999999999,-0.0002029999999999,-0.097343,0.00016,-6.500000000000001e-05,0.000115,0.47791530811072536,-0.5001679250174408,-0.43055513405898366,0.5475280990691825,0.42920730129765045,-0.5503864253682601,-0.4646642850465156,0.514929441619395,0.398570930017728,-0.5875286444118882,-0.5092394027740922,0.476860171655524,-2.046503,0.030251,0.025195
8.02,-0.0010649999999999,-0.0011549999999999,-0.097715,2.2999999999999997e-05,-4.000000000000001e-05,0.000121,0.4779253368644244,-0.5022875066261248,-0.45758442357547907,0.5226284199150701,0.47791530811072536,-0.5001679250174408,-0.43055513405898366,0.5475280990691825,0.42920730129765045,-0.5503864253682601,-0.4646642850465156,0.514929441619395,-2.04915,-0.037575,0.047774
9.02,-0.0010409999999999,-0.0001169999999999,-0.098082,-6.6e-05,2.999999999999997e-06,4.699999999999999e-05,0.45013892262006705,-0.5389595661027426,-0.5069763311613543,0.48212215756145543,0.4779253368644244,-0.5022875066261248,-0.45758442357547907,0.5226284199150701,0.47791530811072536,-0.5001679250174408,-0.43055513405898366,0.5475280990691825,-2.057064,-0.083806,0.014682
10.03,-0.0010499999999999,-0.0004909999999999,-0.098449,-6.7e-05,1.1e-05,-2.9000000000000004e-05,0.4265180488751195,-0.5640165876776261,-0.5257390617107127,0.4647955748420329,0.45013892262006705,-0.5389595661027426,-0.5069763311613543,0.48212215756145543,0.4779253368644244,-0.5022875066261248,-0.45758442357547907,0.5226284199150701,-2.056833,-0.072053,-0.02623
11.03,-0.0009899999999999,-0.0008349999999999,-0.09776,7e-05,-9.999999999999996e-06,-4.399999999999999e-05,0.4404706801942449,-0.5422281444861834,-0.4894887860905681,0.49321003858986007,0.4265180488751195,-0.5640165876776261,-0.5257390617107127,0.4647955748420329,0.45013892262006705,-0.5389595661027426,-0.5069763311613543,0.48212215756145543,-2.056397,-0.034238,-0.019879
12.03,-0.0009969999999999,-0.0007449999999999,-0.097788,-7.8e-05,-1.6e-05,-1.8000000000000004e-05,0.46858320052058205,-0.5162431975460381,-0.4656355379936725,0.5191908600729476,0.4404706801942449,-0.5422281444861834,-0.4894887860905681,0.49321003858986007,0.4265180488751195,-0.5640165876776261,-0.5257390617107127,0.4647955748420329,-2.056392,-0.018406,0.009494
13.03,-0.0009189999999999,-0.0005579999999999,-0.097882,6.8e-05,-8e-06,1.0000000000000038e-06,0.4901932651589052,-0.5012791324546094,-0.4546080569625708,0.5368643406509437,0.46858320052058205,-0.5162431975460381,-0.4656355379936725,0.5191908600729476,0.4404706801942449,-0.5422281444861834,-0.4894887860905681,0.49321003858986007,-2.058125,-0.026131,0.035206
14.04,-0.0010309999999999,-0.0005809999999999,-0.097968,-6.6e-05,1.8e-05,-3.000000000000003e-06,0.4953576987108693,-0.4906730254599697,-0.4597092167897978,0.5263215073810412,0.4901932651589052,-0.5012791324546094,-0.4546080569625708,0.5368643406509437,0.46858320052058205,-0.5162431975460381,-0.4656355379936725,0.5191908600729476,-2.062837,-0.043654,0.039133
15.04,-0.0007699999999999,-0.0004819999999999,-0.098275,-1.2999999999999998e-05,3.5e-05,-4.1e-05,0.482164748377014,-0.5051478922457366,-0.48120795340049727,0.5061046872222534,0.4953576987108693,-0.4906730254599697,-0.4597092167897978,0.5263215073810412,0.4901932651589052,-0.5012791324546094,-0.4546080569625708,0.5368643406509437,-2.060744,-0.053276,0.019198
