Beam,RMSE_vs_Original,RMSE_vs_MovingAvg
b1,0.1545355748654518,0.15399770360956072
b2,0.9932008279950774,0.9930385146866287
b3,0.056225759017604196,0.05580261086822626
b4,0.07462053450174641,0.07377142600907678
