Time,b1,b2,b3,b4
0.0,0.43701700234352403,-0.4139289075199863,-0.45220111782757505,0.39874479203593527
1.0,0.44592995460297996,-0.40573293214778755,-0.462102231016141,0.3895606557346265
2.01,0.45463528534954256,-0.39928250083488825,-0.46855955738212246,0.38535822880230836
3.01,0.46342478017372424,-0.38925980050857445,-0.46644949481976505,0.3862350858625336
4.01,0.47758754680585724,-0.3785824867530293,-0.47956952170818273,0.3766005118507038
5.01,0.48722243075767485,-0.3710175024054225,-0.48973048479899833,0.36850944836409893
6.02,0.4995741671995106,-0.3618834689685195,-0.4981597257567685,0.36329791041126147
7.02,0.5080895910113202,-0.3510905427016722,-0.5012749454207436,0.3579051882922489
8.02,0.5130422508115074,-0.3473071228234399,-0.5062740366041936,0.3540753370307538
9.02,0.5120498359493101,-0.3505924910665975,-0.5277797899906255,0.33486253702528224
10.03,0.5214686644667468,-0.3349055869834377,-0.5328950666638013,0.32347918478638304
11.03,0.5368925803468829,-0.31891657120815337,-0.5329249632952624,0.32288418825977383
12.03,0.5609425163486568,-0.29648605091430336,-0.5286930885639604,0.3287354786989995
13.03,0.566556509613854,-0.29412600956359664,-0.5341190035055537,0.3265635156718966
14.04,0.5628202565948548,-0.2934716889388922,-0.5495942081351566,0.3066977373985904
15.04,0.5690393556717974,-0.28902379485008883,-0.5633788728978275,0.2946842776240587
16.04,0.5666320610765462,-0.2837345282078582,-0.5802960798959477,0.27007050938845667
17.04,0.5796855137256552,-0.26728073255841356,-0.5839667450651932,0.26299950121887555
18.05,0.5948811936310281,-0.24722671518645264,-0.5805264083651063,0.26158150045237444
19.05,0.6118404058393493,-0.23260109949467195,-0.5752236833456515,0.26921782198836974
20.05,0.6180222829546355,-0.22561403657474097,-0.5782672030611437,0.2653691164682327
21.05,0.6114331761846681,-0.22825453030748794,-0.5950421962228364,0.24464551026931938
22.06,0.6057483919600781,-0.22488049595184725,-0.6155618015733224,0.2150670863386029
23.06,0.6046787151024168,-0.21933313493684226,-0.63000614113643,0.19400570890282898
24.06,0.6137341248702013,-0.20207371425163878,-0.6322628927917534,0.18354494633008647
25.06,0.6258296455588772,-0.18346604043617853,-0.6330267621892093,0.17626892380584633
26.07,0.6367849080501901,-0.1668200916974944,-0.6371290242976476,0.1664759754500367
27.07,0.6420934380199355,-0.14873856401363025,-0.6354383404336534,0.15539366159991225
28.07,0.6495611788716606,-0.13527802453441734,-0.6409341060211731,0.14390509738490478
29.07,0.6477856585403243,-0.13062484531103458,-0.649496156379196,0.12891434747216277
30.08,0.6455885857107778,-0.1289258087460733,-0.6606710049573882,0.11384338949946289
31.08,0.6392784404455919,-0.1203469300968734,-0.6747965816489029,0.08482878889356234
32.08,0.6385115261832438,-0.10815812100735944,-0.685575652395838,0.061093994794765225
33.08,0.6532483803040595,-0.07562516750747454,-0.6741371319316382,0.054736415879895896
34.09,0.6730134071060355,-0.04870562182073394,-0.6647473420845276,0.05697168684224163
35.09,0.6842882765050426,-0.030874900379074324,-0.6553749106897755,0.059788266194341404
36.09,0.6777481151030352,-0.029251027154561387,-0.6631804504857456,0.04381869177185088
37.09,0.6727681019294796,-0.025388252986296406,-0.6738007823542111,0.02435557256156467
38.1,0.6710522247330286,-0.015966876124073024,-0.6791295641145124,0.007889536742588934
39.1,0.6783472670779781,0.0008093020239286916,-0.679288984390734,-0.0017510193366847091
40.1,0.6817273617611522,0.00981236766955742,-0.6844553427730381,-0.012540348681443488
41.1,0.6754438806660026,0.015113094719563054,-0.6933863131128871,-0.033055527166447767
42.11,0.6706497463683104,0.02421559194704012,-0.6923965380667259,-0.045962383645455795
43.11,0.6724950647192519,0.046583280475885815,-0.6807644684599647,-0.05485268421659874
44.11,0.6905527912418769,0.07589607683888967,-0.6645262805381938,-0.04986956613520682
45.11,0.6968013188424905,0.08960573757679464,-0.6630951075481005,-0.05589952628240472
46.12,0.6914473190006705,0.09374444227121294,-0.671959017820378,-0.07425614109092049
47.12,0.6693882130966635,0.08221027153865527,-0.696573516928561,-0.10939557537055272
48.12,0.6580672317756968,0.08870986651205684,-0.7084787300069781,-0.13912136474333828
49.12,0.6667266710369364,0.11396964682247397,-0.70158799713281,-0.1488309729183477
50.13,0.6844593429617132,0.15451713591488933,-0.6701571875967615,-0.14021498054993783
51.13,0.6907661876637592,0.1813790444596145,-0.6482231386438326,-0.13883599543968803
52.13,0.6860225773649098,0.19406277564518445,-0.6450042986531945,-0.1530444969334693
53.13,0.669265138676791,0.19590146396299365,-0.6587670587350769,-0.18540338402127982
54.14,0.6579476768650402,0.19499584244764917,-0.6808663327326024,-0.2179144983152115
55.14,0.6394683534303349,0.1978628471162695,-0.6901253202961597,-0.24851981398209425
56.14,0.6524162597893902,0.2233985782450151,-0.6718918755224126,-0.24287419397803778
57.14,0.6745116647252385,0.26701101667051563,-0.6327257739981941,-0.2252251259434715
58.15,0.6771727755678547,0.2857464488053314,-0.6162214163665652,-0.22479508960404204
59.15,0.6655944806395968,0.2905019933109572,-0.6210589212028274,-0.24596643387418798
60.15,0.6346243959761413,0.27851923032837905,-0.6484758378194267,-0.29237067217166457
61.15,0.6154776326784865,0.27693896793503525,-0.6600493363353858,-0.3215106715919347
62.16,0.614422800037037,0.2919626144555813,-0.6535694301815165,-0.33110924460006086
63.16,0.6257808376977873,0.3174648432877654,-0.633314337055159,-0.3249983426451374
64.16,0.6289993040999677,0.3395619827695043,-0.6125590022378239,-0.32312168090736054
