Time [s],DVL X [m/s],DVL Y [m/s],DVL Z [m/s]
0.0,1.7592812441883048,0.07912557189277852,-0.008079299096417221
1.0025062656641603,1.760763552259414,0.11654025138101377,-0.008605088544611261
2.0050125313283207,1.7654254258699364,0.143226290676537,-0.007408950397489761
3.007518796992481,1.7628758451210507,0.15958520967341852,-0.0016094170471995007
4.010025062656641,1.7700818165020837,0.20878482926286915,-0.0010545868183299127
5.012531328320802,1.7743612137103326,0.24543219603719957,-0.0013345076814724776
6.015037593984962,1.7810136277831077,0.28174324574191856,0.0007526085719174405
7.017543859649122,1.7763050237387177,0.310497529643999,0.0036259971823963035
8.020050125313283,1.7787223593658217,0.32865486116013765,0.0036012915593896144
9.022556390977442,1.7834629073021397,0.3663244491714263,-0.008369733726417724
10.025062656641603,1.770504025131003,0.4093317496574306,-0.006079861618737734
11.027568922305765,1.7693357139197927,0.4424499206514046,0.0021111249380155986
12.030075187969924,1.7726837618373756,0.48007456334221565,0.017159562111770416
13.032581453634084,1.7794111184252603,0.496171575754333,0.01725963649750239
14.035087719298245,1.7703338624292428,0.5295184323860496,0.007037433394250129
15.037593984962406,1.7739957258674794,0.5672131888319715,0.003011879974770811
16.040100250626566,1.7580835325389748,0.6131237832918441,-0.007270472555149818
17.042606516290725,1.7510535208837603,0.6547299371699477,-0.0022779956151818192
18.045112781954884,1.7410091903524854,0.6890777570068746,0.007638021704329493
19.047619047619047,1.7458337656109895,0.7083522919818083,0.01948335108935606
20.050125313283207,1.7441690907265124,0.7290899389864357,0.021153236182829053
21.052631578947366,1.7360055626145392,0.7583121955988721,0.008721458272239604
22.05513784461153,1.717276981352235,0.8077109079061257,-0.005221606191308097
23.05764411027569,1.703596639879846,0.8490425876977863,-0.01347644190971235
24.06015037593985,1.6866353238116527,0.8893911404777658,-0.009858951486740312
25.062656641604008,1.6731718254594818,0.9294406809367274,-0.003829505771958182
26.065162907268167,1.6614066621682375,0.9723364017701017,-0.0001831004308461067
27.06766917293233,1.634999231272761,1.0062235193582716,0.0035411034624897217
28.07017543859649,1.6226094681828511,1.04541457906777,0.004590369584509697
29.07268170426065,1.609318505243793,1.0727362986632478,-0.0009101368899977866
30.075187969924812,1.6012635253636234,1.0993523084585322,-0.00802518765870288
31.07769423558897,1.570481333201666,1.1462924511602428,-0.018898808194112243
32.08020050125313,1.5436961276631858,1.1937772087067204,-0.025042298498221868
33.08270676691729,1.506903725826118,1.2373887238057464,-0.011114672588419682
34.08521303258145,1.4921121735790703,1.2736304758447312,0.00439828133086464
35.08771929824561,1.4785583302564533,1.291117499244157,0.015384480614036163
36.09022556390977,1.4616796628477984,1.310612262986898,0.007751292441301767
37.092731829573935,1.4433977136234275,1.3405552435132364,-0.0005494777770352584
38.095238095238095,1.4203720877286765,1.3710503397498144,-0.0042978625152598855
39.097744360902254,1.4007703901371253,1.4060637058421668,-0.0005010773160953729
40.100250626566414,1.3891452242644216,1.435358167034526,-0.0014515283782927037
41.10275689223057,1.3651955467557608,1.4647813747857106,-0.009546968897062654
42.10526315789473,1.3364650682185908,1.481553956694223,-0.011571226174058804
43.10776942355889,1.2940362598515969,1.503749225271759,-0.004400057826247933
44.11027568922306,1.2707670566711218,1.530780218827456,0.013848417092982969
45.11278195488722,1.2553415972656776,1.5561652790896126,0.017934700426933226
46.11528822055138,1.2357159819901968,1.5830474303182132,0.010369508469691712
47.11779448621554,1.2139562898302116,1.6100902495060425,-0.014464998037954703
48.1203007518797,1.1771132833924256,1.6481411211691357,-0.026823397947469223
49.122807017543856,1.1427930424506345,1.6861180598365788,-0.018549324175131637
50.125313283208015,1.0956247330817699,1.7049662653063764,0.007610017918939384
51.127819548872175,1.0531283324617602,1.7151543287935505,0.02263668357017957
52.130325814536334,1.0170983161537654,1.7347224416013287,0.021825370235114674
53.1328320802005,0.9786519036651967,1.7669775300077724,0.00558591166382368
54.13533834586466,0.9571260285906112,1.8107941755495862,-0.0121947620746422
55.13784461152882,0.9129937350697527,1.8358639601903806,-0.0269540090798297
56.14035087719298,0.886969138481707,1.850961013099539,-0.010362758684182433
57.14285714285714,0.8424839214894911,1.8601535563917708,0.022233808057413918
58.1453634085213,0.8092511958430876,1.8647661733423275,0.03243154083210376
59.14786967418546,0.7754819315120278,1.8845992456752838,0.023696876218694915
60.150375939849624,0.7362267467542855,1.916508461870482,-0.0073701982631836985
61.152882205513784,0.6999090264282917,1.937168897129031,-0.02371610815652783
62.15538847117794,0.6666677046275813,1.9548325841014726,-0.020829486833545328
63.1578947368421,0.6374254109004646,1.9656807324102794,-0.004008491282538482
64.16040100250626,0.5983948508154446,1.9684548356195286,0.008747701907243988
65.16290726817043,0.5657078000202963,1.9690693900040588,0.01399095390745808
66.16541353383458,0.5278378175240559,1.9903687116883302,0.003123363824048302
67.16791979949875,0.4854691327406439,2.0151888726989458,-0.0024471580247283913
68.1704260651629,0.45244648587059544,2.026403449633461,-0.013723781765826174
69.17293233082707,0.3950216453287072,2.029569504370133,-0.014511072550634881
70.17543859649122,0.34980119934038406,2.0304638048754833,-0.00548269975494946
71.17794486215539,0.29956800204475137,2.0496083405706162,-0.00032304996510526036
72.18045112781954,0.25602261851014857,2.057817691138157,0.008206991594510845
73.1829573934837,0.220626908603963,2.066978973037876,0.017915173182148313
74.18546365914787,0.1774313509230625,2.0654054584183497,0.010932566409869041
75.18796992481202,0.13983581241722154,2.0609792126972173,-0.0013325001201966763
76.19047619047619,0.08898732573331376,2.076935853806583,-0.0051357734132721515
77.19298245614034,0.037164137877944696,2.076826537515955,-0.009346911536910507
