Time,V North,V East,V Down
0.0,-2.067389,0.174624,-0.037936
1.0,-2.059546,0.178457,-0.03214
2.01,-2.057283,0.161658,-0.015391
3.01,,,-0.01129
4.01,-2.071294,,
5.01,,0.045259,
6.02,,,
7.02,,,
8.02,,,
9.02,,-0.083806,
10.03,,,
11.03,,,
12.03,,,0.009494
13.03,-2.058125,-0.026131,
14.04,,-0.043654,
15.04,,,0.019198
16.04,-2.054071,,
17.04,-2.048343,,-0.029425
18.05,-2.058441,,
19.05,,0.011737,0.005893
20.05,,,
21.05,,,
22.06,,,
23.06,,,
24.06,-2.059777,,0.005267
25.06,,,0.000522
26.07,-2.06725,,-0.0053
27.07,-2.054837,,
28.07,,0.025095,
29.07,,,
30.08,-2.06526,,0.029058
31.08,,-0.008726,-0.009756
32.08,-2.061369,,-0.030851
33.08,,0.044062,
34.09,,,0.042922
35.09,,,
36.09,-2.047113,,-0.001643
37.09,,,
38.1,,0.006975,-0.007383
39.1,,,
40.1,,0.016423,0.018017
41.1,-2.05228,,0.019557
42.11,,-0.007338,
43.11,-2.061449,,0.015419
44.11,,-0.007381,
45.11,,0.03622,-0.025535
46.12,,0.072255,
47.12,-2.052482,,0.043295
48.12,,-0.012572,
49.12,,,-0.01957
50.13,,0.00053,-0.061551
51.13,,,
52.13,-2.070016,0.057699,
53.13,,,
54.14,-2.056867,-0.0387,
55.14,,,
56.14,,,
57.14,-2.063398,,-0.014546
58.15,,,
59.15,,,
60.15,-2.056245,,-0.015912
61.15,,,
62.16,-2.04676,0.011847,
63.16,-2.053779,,
64.16,,,
65.16,-2.070699,-0.005275,
66.17,,,
67.17,-2.047009,,
68.17,,,
69.17,,-0.010704,-0.015404
70.18,,,
71.18,,,
72.18,,,
73.18,,-0.00584,0.015959
74.19,,0.006612,
75.19,,0.044519,-0.006353
76.19,,,0.027108
77.19,-2.048141,-0.006144,
78.2,,,0.008588
79.2,,0.008905,
80.2,,,0.00826
81.2,,0.043126,
82.21,-2.039852,,
83.21,,,
84.21,-2.058323,-0.018029,
85.21,,-0.00235,-0.007502
86.22,-2.058503,0.015477,
87.22,,,
88.22,-2.050295,,
89.22,-2.052675,,0.023754
90.23,,,
91.23,-2.051289,0.020252,
92.23,,0.007639,
93.23,,,
94.24,,-0.002482,
95.24,-2.054998,,
96.24,,0.031213,0.007635
97.24,-2.049335,,0.023643
98.25,-2.057302,,
99.25,-2.062067,,-0.007207
100.25,-2.05597,,
101.25,,0.035694,0.020369
102.26,,,
103.26,,,
104.26,-2.054287,,-0.028112
105.26,-2.060729,0.015879,
106.27,,,-0.011172
107.27,,,
108.27,,,
109.27,-2.050895,,
110.28,,-0.008607,-0.013308
111.28,,,
112.28,-2.049382,,
113.28,,,
114.29,,0.00207,-0.016565
115.29,-2.068143,,
116.29,,,
117.29,,,
118.3,,0.053585,0.01217
119.3,-2.048039,,
120.3,-2.055917,,
121.3,,,-0.05148
122.31,,0.022611,
123.31,,0.045034,
124.31,-2.049598,,
125.31,-2.053478,,0.045306
126.32,,-0.033357,
127.32,,-0.012973,
128.32,-2.057943,,0.012465
129.32,,,
130.33,,-0.017871,0.058573
131.33,-2.04755,,
132.33,-2.045115,0.010542,
133.33,-2.045064,,0.027816
134.34,-2.048205,,0.023236
135.34,,0.01085,
136.34,-2.065221,0.018106,
137.34,-2.06182,0.024743,
138.35,,0.019547,
139.35,,-0.004703,0.014749
140.35,,,-0.005669
141.35,,,
