Trajectory,NumSamples,InputSize,EpochsTrained,AvgBestRMSE,TrainingTime,TrainedOn,MissingPercentage
Trajectory1,397,22,30,0.3196371363808406,6.138599395751953,NONE,b1_20-b2_15-b3_10-b4_5
Trajectory2,397,22,40,0.10855485484817226,7.973289251327515,"Trajectory1:30,Trajectory1:30",b1_20-b2_15-b3_10-b4_5
