Time,b1,b2,b3,b4
1.0,-0.0039875980705765,-0.0145377155487027,0.0192249712526745,0.0297750887308009
2.01,0.0045440495562502,-0.007365171655456,0.0221878064612567,0.0340970276729629
3.01,-0.012409135699272156,1.0,-0.011698542162775993,-0.008631568402051926
4.01,-0.0014387667179107666,1.0,-0.0014340290799736977,0.0060471706092357635
5.01,0.007073894143104553,1.0,0.00987611897289753,0.016446996480226517
6.02,0.0043963417410850525,1.0,0.008455835282802582,0.012277856469154358
7.02,0.006145007908344269,1.0,0.015402068383991718,0.01856951415538788
8.02,-0.0018555596470832825,1.0,0.016439765691757202,0.01761101745069027
9.02,0.026897601783275604,1.0,0.10399262607097626,0.10431645810604095
10.03,-0.0566137433052063,1.0,-0.008060727268457413,-0.02477509155869484
11.03,-0.045592427253723145,1.0,-0.030965276062488556,-0.03576108440756798
12.03,0.013791922479867935,1.0,0.02619941160082817,0.036654748022556305
13.03,0.030785679817199707,1.0,0.03113735467195511,0.040808387100696564
14.04,0.012950867414474487,1.0,0.007688653189688921,0.010952431708574295
15.04,-0.026921257376670837,1.0,-0.02928726002573967,-0.030993107706308365
16.04,-0.03830156475305557,1.0,-0.05335106700658798,-0.046722035855054855
17.04,-0.01923343539237976,1.0,-0.04296441376209259,-0.027931511402130127
18.05,0.01059047132730484,1.0,-0.012179721146821976,0.0050423406064510345
19.05,0.015126213431358337,1.0,-0.008727720007300377,0.0040967389941215515
20.05,0.003534063696861267,1.0,-0.022609464824199677,-0.013779375702142715
21.05,-0.009966537356376648,1.0,-0.044564321637153625,-0.035820648074150085
22.06,-0.010735146701335907,1.0,-0.0609075203537941,-0.04765424132347107
23.06,0.005908891558647156,1.0,-0.05281143635511398,-0.033991552889347076
24.06,0.017179682850837708,1.0,-0.04100211337208748,-0.02068999782204628
25.06,0.014095202088356018,1.0,-0.038742728531360626,-0.020070597529411316
26.07,-0.004808388650417328,1.0,-0.054030511528253555,-0.037409458309412
27.07,-0.008375540375709534,1.0,-0.0496225543320179,-0.030781440436840057
28.07,0.0045947059988975525,1.0,-0.020743565633893013,0.00012309476733207703
29.07,0.010338574647903442,1.0,0.0007108598947525024,0.018472900614142418
30.08,-0.0074231624603271484,1.0,-0.009495507925748825,0.001919655129313469
31.08,-0.017904967069625854,1.0,-0.011834530159831047,-0.0025199763476848602
32.08,-0.0051971301436424255,1.0,0.011230725795030594,0.021285684779286385
33.08,-0.006664112210273743,1.0,0.006623623892664909,0.013632949441671371
34.09,-0.011293545365333557,1.0,-0.0020840687211602926,0.0029964586719870567
35.09,-0.01391640305519104,1.0,-0.005611685570329428,-0.0010484643280506134
36.09,0.003863789141178131,1.0,0.014970424585044384,0.02173631079494953
37.09,-0.0022299736738204956,1.0,0.0037307213060557842,0.007733538746833801
38.1,0.04223792254924774,1.0,0.11513230204582214,0.11960063874721527
39.1,-0.0594191774725914,1.0,0.008538251742720604,-0.00919717364013195
40.1,-0.03639601916074753,1.0,0.02375815622508526,0.01577792316675186
41.1,0.01675087958574295,1.0,0.05176467075943947,0.05201682448387146
42.11,0.024909071624279022,1.0,0.011769430711865425,0.01391231082379818
43.11,-0.005700729787349701,1.0,-0.043558329343795776,-0.041687678545713425
44.11,-0.0362623855471611,1.0,-0.07314501702785492,-0.07030488550662994
45.11,-0.01900743693113327,1.0,-0.06269629299640656,-0.04748766869306564
46.12,0.007387615740299225,1.0,-0.02778013050556183,-0.00692811980843544
47.12,0.019462447613477707,1.0,0.004078534431755543,0.02219216153025627
48.12,-0.0022621601819992065,1.0,-0.005928464233875275,0.003941982984542847
49.12,-0.023295022547245026,1.0,-0.023718303069472313,-0.016289012506604195
50.13,-0.025881081819534302,1.0,-0.026188332587480545,-0.01605025865137577
51.13,-0.009655952453613281,1.0,-0.008350796066224575,0.005387205630540848
52.13,0.0078114718198776245,1.0,0.01643233373761177,0.029554100707173347
53.13,0.005298145115375519,1.0,0.022865254431962967,0.030764345079660416
54.14,-0.015570715069770813,1.0,0.0033975020051002502,0.006577631458640099
55.14,-0.034912288188934326,1.0,-0.023627322167158127,-0.020347202196717262
56.14,-0.029079176485538483,1.0,-0.02639617770910263,-0.017954450100660324
57.14,-0.009224921464920044,1.0,-0.011034661903977394,0.0014381594955921173
58.15,0.0075232237577438354,1.0,0.008062451146543026,0.02023409865796566
59.15,0.007043123245239258,1.0,0.014347897842526436,0.02228740230202675
60.15,-0.009088583290576935,1.0,-0.00021623913198709488,0.0037921518087387085
61.15,-0.026291735470294952,1.0,-0.023795798420906067,-0.019941382110118866
62.16,-0.025439277291297913,1.0,-0.031575772911310196,-0.023404866456985474
63.16,-0.008731111884117126,1.0,-0.01848001964390278,-0.006070248782634735
64.16,0.0018979012966156006,1.0,-0.013289542868733406,-0.00028221122920513153
65.16,-0.00262267142534256,1.0,-0.03820854425430298,-0.02587500400841236
66.17,-0.009003840386867523,1.0,-0.06071950122714043,-0.04422172158956528
67.17,0.00923454761505127,1.0,-0.024663466960191727,-0.0009276643395423889
68.17,-0.025981836020946503,1.0,-0.05481042340397835,-0.0356568843126297
69.17,-0.017404817044734955,1.0,-0.016626358032226562,0.005422424525022507
70.18,-0.020176835358142853,1.0,0.009173856116831303,0.026531100273132324
71.18,-0.0280083566904068,1.0,0.01122294832020998,0.023720847442746162
72.18,-0.03337905555963516,1.0,0.007641125004738569,0.01573946326971054
73.18,-0.021043501794338226,1.0,0.02507351152598858,0.03130710870027542
74.19,-0.01516634225845337,1.0,0.022678371518850327,0.026091193780303
75.19,-0.01284462958574295,1.0,0.017925512045621872,0.018689138814806938
76.19,-0.014204524457454681,1.0,0.007708693854510784,0.00690864585340023
77.19,-0.009187877178192139,1.0,0.010081013664603233,0.010401081293821335
78.2,0.0017830654978752136,1.0,0.024671481922268867,0.02583940140902996
79.2,0.013425998389720917,1.0,0.044617682695388794,0.04377402737736702
80.2,0.013292908668518066,1.0,0.04433531314134598,0.039562102407217026
81.2,-0.0062698498368263245,1.0,0.012323618866503239,0.004228740930557251
82.21,-0.022003136575222015,1.0,-0.02190294675529003,-0.02699124626815319
83.21,-0.009712308645248413,1.0,-0.01867498829960823,-0.01637117564678192
84.21,0.018571577966213226,1.0,0.010989178903400898,0.018137458711862564
85.21,0.031485699117183685,1.0,0.030471645295619965,0.03519590198993683
86.22,0.019191324710845947,1.0,0.024260908365249634,0.02351139858365059
87.22,-0.008640870451927185,1.0,-0.00885891355574131,-0.01222044974565506
88.22,-0.02439069002866745,1.0,-0.037205930799245834,-0.03630882501602173
89.22,-0.016762398183345795,1.0,-0.03850739076733589,-0.030230585485696793
90.23,0.008751243352890015,1.0,-0.010341711342334747,0.0028112344443798065
91.23,0.02616477757692337,1.0,0.017795979976654053,0.02942596934735775
92.23,0.0189848393201828,1.0,0.021769434213638306,0.02767757885158062
